<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,<a id=10 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=11 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=15 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,3.98@@3.98,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,9.44 ± 2.10 / 29.27 ± 3.31@@9.44,32.67 ± 3.64 / 32.35 ± 3.87@@32.67,30.82 ± 3.11 / 30.16 ± 2.95@@30.82,0.15 ± 1.25 / 38.00 ± 4.14@@0.15,-0.87 ± 1.36 / 36.81 ± 3.41@@-0.87,6.83 ± 0.90 / 0.01 ± 0.02@@6.83,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-356m-instruct'>AI-Sweden-Models/gpt-sw3-356m-instruct</a>,📝,4.02@@4.02,470607872.0,64000.0,2048.0,✓,✗,(✓),✗,0.62 ± 1.22 / 17.46 ± 0.31@@0.62,19.94 ± 1.79 / 21.15 ± 1.92@@19.94,26.88 ± 1.67 / 28.76 ± 1.73@@26.88,0.21 ± 0.42 / 33.37 ± 0.29@@0.21,0.00 ± 0.00 / 32.97 ± 0.25@@0.00,22.37 ± 2.46 / 4.44 ± 1.77@@22.37,15.4.1@@150401,15.4.1@@150401,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402,15.4.2@@150402
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,4.04@@4.04,353424384.0,65536.0,2048.0,✓,✗,(✓),✓,5.86 ± 2.29 / 17.46 ± 4.49@@5.86,28.44 ± 1.96 / 28.76 ± 2.40@@28.44,28.17 ± 1.15 / 29.59 ± 1.36@@28.17,0.08 ± 1.01 / 36.74 ± 3.31@@0.08,0.88 ± 1.21 / 36.53 ± 3.27@@0.88,7.73 ± 0.84 / 1.66 ± 0.68@@7.73,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.08@@4.08,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,1.99 ± 2.02 / 19.53 ± 1.99@@1.99,27.13 ± 1.93 / 24.04 ± 2.13@@27.13,24.06 ± 1.89 / 22.47 ± 2.12@@24.06,-0.11 ± 0.22 / 33.36 ± 0.28@@-0.11,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,10.88 ± 2.10 / 5.42 ± 1.42@@10.88,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2-350M'>LiquidAI/LFM2-350M</a>,📝,4.10@@4.10,354483968.0,65536.0,128000.0,✗,✗,(✓),✓,10.25 ± 1.74 / 26.75 ± 2.15@@10.25,23.10 ± 2.19 / 22.64 ± 2.09@@23.10,21.98 ± 0.89 / 21.34 ± 0.82@@21.98,-0.40 ± 1.28 / 43.19 ± 3.05@@-0.40,1.36 ± 1.67 / 44.25 ± 3.49@@1.36,4.50 ± 0.24 / 0.16 ± 0.09@@4.50,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HPLT/hplt2c_swe_checkpoints'>HPLT/hplt2c_swe_checkpoints</a>,🧠,4.10@@4.10,?,262272.0,2048.0,✓,✗,(✓),✗,13.76 ± 3.58 / 30.09 ± 6.12@@13.76,18.41 ± 4.70 / 17.87 ± 4.62@@18.41,14.87 ± 5.12 / 13.92 ± 4.76@@14.87,-0.27 ± 1.86 / 36.06 ± 2.16@@-0.27,-0.07 ± 1.77 / 35.42 ± 1.79@@-0.07,7.03 ± 0.59 / 0.03 ± 0.04@@7.03,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.12@@4.12,361821120.0,49152.0,8192.0,✓,✗,(✓),✓,2.37 ± 1.67 / 23.53 ± 3.42@@2.37,25.39 ± 1.52 / 25.13 ± 2.21@@25.39,25.47 ± 2.48 / 25.18 ± 2.66@@25.47,-0.22 ± 0.43 / 33.30 ± 0.27@@-0.22,0.52 ± 1.01 / 33.55 ± 0.59@@0.52,6.16 ± 0.67 / 0.01 ± 0.02@@6.16,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.12@@4.12,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,4.33 ± 4.28 / 24.72 ± 3.44@@4.33,25.93 ± 2.50 / 27.98 ± 2.25@@25.93,24.57 ± 1.61 / 26.71 ± 1.42@@24.57,0.05 ± 0.77 / 38.64 ± 3.99@@0.05,0.34 ± 1.22 / 37.35 ± 2.90@@0.34,2.35 ± 0.84 / 0.35 ± 0.25@@2.35,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/NbAiLab/borealis-270m-instruct-preview'>NbAiLab/borealis-270m-instruct-preview (val)</a>,📝,4.13@@4.13,268098176.0,262144.0,32768.0,✓,✗,(✓),✗,4.49 ± 4.67 / 26.31 ± 3.84@@4.49,16.05 ± 4.88 / 17.51 ± 4.97@@16.05,13.75 ± 6.02 / 13.31 ± 6.02@@13.75,0.81 ± 7.11 / 41.79 ± 3.86@@0.81,-2.84 ± 3.18 / 40.75 ± 4.18@@-2.84,12.62 ± 1.34 / 3.29 ± 0.87@@12.62,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601,16.16.1.dev0@@161601
<a href='https://hf.co/HPLT/hplt2c_nob_checkpoints'>HPLT/hplt2c_nob_checkpoints</a>,🧠,4.14@@4.14,?,262272.0,2048.0,✓,✗,(✓),✗,8.41 ± 4.54 / 27.57 ± 5.06@@8.41,17.09 ± 3.77 / 16.44 ± 3.70@@17.09,13.15 ± 4.92 / 12.41 ± 4.71@@13.15,-0.99 ± 1.71 / 36.46 ± 2.61@@-0.99,0.59 ± 1.27 / 36.07 ± 3.27@@0.59,8.86 ± 0.65 / 0.13 ± 0.10@@8.86,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B</a>,🤔,4.19@@4.19,1777088000.0,151936.0,131072.0,✓,✗,(✓),✓,9.26 ± 1.71 / 35.65 ± 1.56@@9.26,10.57 ± 1.66 / 9.99 ± 1.57@@10.57,12.24 ± 2.66 / 11.76 ± 2.41@@12.24,3.13 ± 2.19 / 47.13 ± 2.15@@3.13,2.24 ± 2.05 / 48.05 ± 1.52@@2.24,6.77 ± 0.52 / 1.00 ± 0.25@@6.77,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/facebook/MobileLLM-R1-360M-base'>facebook/MobileLLM-R1-360M-base</a>,🧠,4.20@@4.20,359431168.0,128256.0,4096.0,✗,✗,(✓),✓,1.45 ± 1.51 / 17.59 ± 0.45@@1.45,22.54 ± 2.97 / 24.46 ± 3.27@@22.54,22.82 ± 1.98 / 25.58 ± 2.06@@22.82,0.69 ± 1.56 / 39.18 ± 3.55@@0.69,1.81 ± 1.89 / 35.45 ± 1.20@@1.81,2.24 ± 0.57 / 0.43 ± 0.28@@2.24,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.20@@4.20,268098176.0,262144.0,32768.0,✓,✗,(✓),✓,6.50 ± 6.00 / 26.63 ± 4.68@@6.50,19.58 ± 5.34 / 20.36 ± 4.07@@19.58,9.48 ± 4.36 / 9.75 ± 4.14@@9.48,0.71 ± 1.85 / 40.19 ± 5.50@@0.71,0.68 ± 1.04 / 40.03 ± 4.36@@0.68,6.32 ± 0.53 / 0.00 ± 0.00@@6.32,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Base</a>,🧠,4.21@@4.21,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,4.35 ± 0.92 / 20.82 ± 3.05@@4.35,19.48 ± 2.41 / 21.28 ± 2.29@@19.48,17.60 ± 1.87 / 19.85 ± 1.36@@17.60,-0.48 ± 1.14 / 38.49 ± 3.59@@-0.48,0.51 ± 2.25 / 38.27 ± 3.76@@0.51,2.78 ± 0.75 / 0.25 ± 0.20@@2.78,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.23@@4.23,134515008.0,49152.0,8192.0,✓,✗,(✓),✓,2.02 ± 1.71 / 13.94 ± 3.68@@2.02,19.76 ± 2.15 / 21.16 ± 2.06@@19.76,19.35 ± 2.06 / 20.92 ± 2.43@@19.35,0.17 ± 1.54 / 37.99 ± 4.16@@0.17,1.31 ± 1.68 / 38.10 ± 4.33@@1.31,2.68 ± 0.44 / 0.00 ± 0.00@@2.68,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Thinking'>LiquidAI/LFM2.5-1.2B-Thinking</a>,🤔,4.23@@4.23,1170340608.0,65536.0,128000.0,✗,✗,(✓),✓,6.76 ± 2.84 / 20.87 ± 2.71@@6.76,7.95 ± 1.39 / 7.97 ± 1.02@@7.95,10.55 ± 1.49 / 9.77 ± 1.30@@10.55,3.41 ± 1.91 / 41.75 ± 0.84@@3.41,3.58 ± 1.57 / 41.99 ± 0.69@@3.58,8.50 ± 0.70 / 3.78 ± 0.65@@8.50,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/marksverdhei/modern-norbert3-xs'>marksverdhei/modern-norbert3-xs</a>,🔍,4.23@@4.23,15000272.0,50000.0,512.0,✓,✗,(✓),✗,12.78 ± 1.64 / 37.33 ± 1.45@@12.78,9.57 ± 3.36 / 9.67 ± 3.41@@9.57,11.52 ± 1.79 / 11.62 ± 1.93@@11.52,0.53 ± 1.85 / 49.81 ± 1.06@@0.53,1.78 ± 1.44 / 50.54 ± 0.78@@1.78,0.02 ± 0.01 / 0.00 ± 0.00@@0.02,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/facebook/MobileLLM-R1-950M'>facebook/MobileLLM-R1-950M</a>,📝,4.26@@4.26,949685760.0,128256.0,32768.0,✗,✗,(✓),✓,-0.67 ± 2.52 / 20.85 ± 2.79@@-0.67,25.14 ± 2.49 / 25.79 ± 2.23@@25.14,20.05 ± 1.48 / 20.36 ± 1.16@@20.05,0.87 ± 1.20 / 35.30 ± 2.41@@0.87,0.22 ± 1.08 / 37.01 ± 4.01@@0.22,0.33 ± 0.29 / 0.00 ± 0.00@@0.33,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct'>tiiuae/Falcon-H1-Tiny-Multilingual-100M-Instruct</a>,📝,4.26@@4.26,107908288.0,65536.0,262144.0,✓,✗,(✓),✓,-0.02 ± 0.80 / 9.66 ± 0.34@@-0.02,19.65 ± 1.49 / 19.83 ± 1.52@@19.65,17.45 ± 1.29 / 17.61 ± 1.32@@17.45,0.23 ± 1.61 / 34.42 ± 1.54@@0.23,0.89 ± 1.34 / 37.25 ± 3.10@@0.89,5.15 ± 0.63 / 1.26 ± 0.38@@5.15,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/AI-Sweden-Models/gpt-sw3-126m'>AI-Sweden-Models/gpt-sw3-126m</a>,🧠,4.28@@4.28,186112512.0,64000.0,2048.0,✓,✗,(✓),✗,1.03 ± 2.95 / 24.56 ± 3.60@@1.03,19.31 ± 6.32 / 22.62 ± 4.01@@19.31,10.72 ± 7.11 / 12.35 ± 6.72@@10.72,-1.21 ± 1.03 / 33.29 ± 0.27@@-1.21,-0.00 ± 0.36 / 33.32 ± 0.26@@-0.00,6.40 ± 2.26 / 2.52 ± 0.82@@6.40,16.5.0.dev0@@160500,15.4.1@@150401,15.4.1@@150401,16.5.0.dev0@@160500,16.5.0.dev0@@160500,15.4.1@@150401
<a href='https://hf.co/openai-community/gpt2-medium'>openai-community/gpt2-medium</a>,🧠,4.30@@4.30,379988992.0,50257.0,1024.0,✓,✗,(✓),✗,0.00 ± 0.00 / 21.82 ± 0.15@@0.00,19.89 ± 5.00 / 23.72 ± 3.76@@19.89,18.50 ± 3.24 / 21.29 ± 2.72@@18.50,-0.78 ± 1.35 / 36.13 ± 2.83@@-0.78,1.06 ± 1.50 / 38.30 ± 4.43@@1.06,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://hf.co/HPLT/hplt2c_dan_checkpoints'>HPLT/hplt2c_dan_checkpoints</a>,🧠,4.30@@4.30,?,262272.0,2048.0,✓,✗,(✓),✗,3.73 ± 1.83 / 15.72 ± 4.00@@3.73,10.05 ± 6.60 / 9.61 ± 6.38@@10.05,7.94 ± 5.21 / 7.29 ± 4.83@@7.94,0.01 ± 1.19 / 33.69 ± 0.26@@0.01,-0.08 ± 0.53 / 33.82 ± 0.32@@-0.08,6.72 ± 0.68 / 0.01 ± 0.02@@6.72,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/HPLT/hplt2c_isl_checkpoints'>HPLT/hplt2c_isl_checkpoints</a>,🧠,4.31@@4.31,?,262272.0,2048.0,✓,✗,(✓),✗,4.39 ± 1.94 / 24.57 ± 5.33@@4.39,8.19 ± 4.25 / 7.51 ± 3.89@@8.19,4.19 ± 1.86 / 3.76 ± 1.71@@4.19,0.80 ± 1.62 / 46.85 ± 3.65@@0.80,-0.04 ± 1.97 / 45.53 ± 2.35@@-0.04,6.38 ± 1.05 / 0.00 ± 0.00@@6.38,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/openai-community/gpt2-large'>openai-community/gpt2-large</a>,🧠,4.32@@4.32,811778816.0,50257.0,1024.0,✓,✗,(✓),✗,2.65 ± 2.94 / 16.49 ± 3.95@@2.65,13.20 ± 1.42 / 21.47 ± 2.67@@13.20,16.46 ± 1.30 / 25.03 ± 1.96@@16.46,-0.09 ± 0.66 / 38.37 ± 4.10@@-0.09,-0.23 ± 1.14 / 33.79 ± 1.15@@-0.23,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://hf.co/facebook/MobileLLM-R1-140M-base'>facebook/MobileLLM-R1-140M-base</a>,🧠,4.32@@4.32,140248512.0,128256.0,4096.0,✗,✗,(✓),✓,1.55 ± 1.35 / 18.96 ± 1.74@@1.55,15.20 ± 4.80 / 16.33 ± 4.46@@15.20,12.40 ± 2.36 / 12.68 ± 2.82@@12.40,1.34 ± 0.74 / 41.44 ± 4.58@@1.34,1.08 ± 1.13 / 40.72 ± 4.20@@1.08,2.15 ± 0.83 / 0.12 ± 0.09@@2.15,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Shekswess/trlm-135m'>Shekswess/trlm-135m</a>,📝,4.33@@4.33,134516160.0,49154.0,8192.0,✓,✗,(✓),✗,-0.33 ± 0.31 / 9.41 ± 0.24@@-0.33,17.68 ± 2.16 / 18.69 ± 1.75@@17.68,15.20 ± 1.86 / 17.08 ± 2.36@@15.20,-0.05 ± 0.09 / 33.62 ± 0.56@@-0.05,0.19 ± 0.45 / 34.05 ± 0.63@@0.19,2.41 ± 0.16 / 0.00 ± 0.00@@2.41,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/openai-community/gpt2'>openai-community/gpt2</a>,🧠,4.36@@4.36,137022720.0,50257.0,1024.0,✓,✗,(✓),✗,0.90 ± 0.97 / 10.91 ± 2.71@@0.90,12.68 ± 3.35 / 17.64 ± 1.90@@12.68,14.43 ± 2.96 / 17.46 ± 1.82@@14.43,-0.94 ± 1.29 / 40.29 ± 4.74@@-0.94,0.84 ± 0.92 / 36.40 ± 4.17@@0.84,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401
<a href='https://hf.co/marksverdhei/modern-norbert3-base'>marksverdhei/modern-norbert3-base</a>,🔍,4.37@@4.37,123994448.0,50000.0,512.0,✓,✗,(✓),✗,10.85 ± 1.51 / 31.90 ± 1.94@@10.85,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.21 ± 1.76 / 47.81 ± 2.92@@0.21,0.56 ± 1.77 / 45.89 ± 2.82@@0.56,0.01 ± 0.01 / 0.00 ± 0.00@@0.01,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/AIDC-AI/Marco-Mini-Global-Base'>AIDC-AI/Marco-Mini-Global-Base (val)</a>,📝,4.40@@4.40,17406164992.0,151936.0,32768.0,✓,✗,(✓),✓,-1.73 ± 1.16 / 22.10 ± 0.57@@-1.73,8.85 ± 0.97 / 7.68 ± 0.86@@8.85,9.18 ± 2.40 / 8.05 ± 2.03@@9.18,0.58 ± 0.58 / 33.26 ± 0.73@@0.58,0.00 ± 0.00 / 32.76 ± 0.48@@0.00,1.25 ± 0.31 / 0.00 ± 0.00@@1.25,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100
<a href='https://hf.co/HPLT/hplt2c_nno_checkpoints'>HPLT/hplt2c_nno_checkpoints</a>,🧠,4.41@@4.41,?,262272.0,2048.0,✓,✗,(✓),✗,1.53 ± 2.15 / 25.28 ± 4.13@@1.53,4.00 ± 1.94 / 3.97 ± 2.00@@4.00,3.88 ± 1.80 / 4.37 ± 2.02@@3.88,1.54 ± 1.76 / 40.51 ± 4.33@@1.54,1.68 ± 2.08 / 41.28 ± 5.11@@1.68,6.04 ± 0.86 / 0.19 ± 0.09@@6.04,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/PleIAs/Monad'>PleIAs/Monad</a>,🧠,4.48@@4.48,56656128.0,8192.0,2048.0,✓,✗,(✓),✓,3.12 ± 2.28 / 19.86 ± 5.48@@3.12,0.17 ± 0.27 / 0.15 ± 0.24@@0.17,0.01 ± 0.01 / 0.01 ± 0.01@@0.01,1.10 ± 0.89 / 36.95 ± 4.06@@1.10,-1.05 ± 1.33 / 36.34 ± 3.37@@-1.05,2.30 ± 0.25 / 0.00 ± 0.00@@2.30,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/marksverdhei/modern-norbert3-small'>marksverdhei/modern-norbert3-small</a>,🔍,4.49@@4.49,40641104.0,50000.0,512.0,✓,✗,(✓),✗,2.19 ± 3.74 / 25.36 ± 2.01@@2.19,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.01 ± 0.01 / 0.01 ± 0.01@@0.01,1.80 ± 2.12 / 46.25 ± 4.17@@1.80,0.45 ± 2.86 / 46.56 ± 3.30@@0.45,0.92 ± 0.54 / 0.01 ± 0.02@@0.92,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/PleIAs/Baguettotron'>PleIAs/Baguettotron@refs/pr/6#no-thinking</a>,📝,4.49@@4.49,320956992.0,65536.0,4096.0,✓,✗,(✓),✓,0.53 ± 1.36 / 15.13 ± 3.91@@0.53,2.36 ± 0.97 / 2.67 ± 0.89@@2.36,1.10 ± 0.70 / 1.31 ± 0.72@@1.10,-0.09 ± 1.24 / 40.93 ± 3.68@@-0.09,-0.38 ± 2.14 / 38.54 ± 3.27@@-0.38,1.77 ± 0.23 / 0.00 ± 0.00@@1.77,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/ltg/norbert'>ltg/norbert</a>,🔍,4.50@@4.50,111952540.0,32922.0,512.0,✓,✗,(✓),✗,-0.39 ± 3.57 / 23.12 ± 4.93@@-0.39,1.26 ± 0.24 / 1.19 ± 0.23@@1.26,1.15 ± 0.31 / 1.13 ± 0.24@@1.15,-1.34 ± 1.49 / 40.36 ± 4.13@@-1.34,0.74 ± 2.27 / 42.02 ± 4.20@@0.74,3.90 ± 0.23 / 0.02 ± 0.03@@3.90,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802
<a href='https://hf.co/facebook/MobileLLM-R1-140M'>facebook/MobileLLM-R1-140M</a>,🤔,4.54@@4.54,140248512.0,128256.0,32768.0,✗,✗,(✓),✓,0.14 ± 0.47 / 17.49 ± 0.42@@0.14,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.55 ± 0.84 / 34.46 ± 0.79@@0.55,-0.10 ± 2.02 / 34.94 ± 0.95@@-0.10,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mideind/IceBERT-mC4-is'>mideind/IceBERT-mC4-is</a>,🔍,4.55@@4.55,162944162.0,50000.0,514.0,✓,✗,(✓),✗,0.14 ± 0.74 / 21.84 ± 0.14@@0.14,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-0.74 ± 1.12 / 35.49 ± 3.06@@-0.74,0.00 ± 0.00 / 33.15 ± 0.32@@0.00,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/facebook/MobileLLM-R1-360M'>facebook/MobileLLM-R1-360M</a>,📝,4.56@@4.56,359431168.0,128256.0,32768.0,✗,✗,(✓),✓,-6.72 ± 4.44 / 20.56 ± 2.50@@-6.72,2.08 ± 1.49 / 1.92 ± 1.36@@2.08,1.78 ± 1.35 / 1.75 ± 1.15@@1.78,-0.30 ± 0.45 / 34.95 ± 2.91@@-0.30,0.39 ± 0.56 / 36.04 ± 2.97@@0.39,0.59 ± 0.16 / 0.00 ± 0.00@@0.59,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/microsoft/Phi-3-mini-128k-instruct'>microsoft/Phi-3-mini-128k-instruct</a>,📝,-@@100,3821079552.0,32064.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct (val)</a>,📝,-@@100,7768117248.0,256000.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
"<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct (zero-shot, val)</a>",📝,-@@100,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/kurakurai/Luth-1.7B-Instruct'>kurakurai/Luth-1.7B-Instruct (val)</a>,📝,-@@100,1720574976.0,151936.0,40960.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0
