<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=14 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=16 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,
<a href='https://hf.co/sentence-transformers/distiluse-base-multilingual-cased-v1'>sentence-transformers/distiluse-base-multilingual-cased-v1</a>,🔍,-@@100,N/A,135326210.0,119547.0,512.0,✓,✗,27.78 ± 2.22 / 49.38 ± 2.89@@27.78,46.78 ± 1.50 / 44.41 ± 1.78@@46.78,3.04 ± 1.85 / 46.85 ± 3.03@@3.04,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/sentence-transformers/distiluse-base-multilingual-cased-v2'>sentence-transformers/distiluse-base-multilingual-cased-v2</a>,🔍,-@@100,N/A,134734080.0,119547.0,512.0,✓,✗,30.13 ± 2.10 / 46.78 ± 4.49@@30.13,26.96 ± 1.31 / 25.63 ± 1.35@@26.96,2.01 ± 1.29 / 48.79 ± 1.65@@2.01,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/meta-llama/Llama-2-70b-chat-hf'>meta-llama/Llama-2-70b-chat-hf</a>,📝,-@@100,?,68976653312.0,32000.0,4096.0,✓,✗,49.81 ± 1.55 / 59.92 ± 1.79@@49.81,48.27 ± 1.92 / 27.66 ± 1.60@@48.27,20.23 ± 2.67 / 52.63 ± 3.29@@20.23,-@@-1,64.38 ± 0.16 / 13.29 ± 0.45@@64.38,22.29 ± 4.33 / 38.66 ± 2.84@@22.29,26.25 ± 7.69 / 44.30 ± 6.50@@26.25,1.46 ± 1.41 / 24.82 ± 0.69@@1.46,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/meta-llama/Llama-2-70b-hf'>meta-llama/Llama-2-70b-hf</a>,🧠,-@@100,N/A,68976653312.0,32000.0,4096.0,✓,✗,50.48 ± 2.00 / 65.96 ± 1.57@@50.48,53.36 ± 2.67 / 42.13 ± 3.22@@53.36,43.18 ± 4.00 / 65.89 ± 4.30@@43.18,-@@-1,68.43 ± 0.26 / 24.81 ± 0.49@@68.43,59.26 ± 2.26 / 68.25 ± 1.87@@59.26,78.06 ± 2.34 / 85.01 ± 1.62@@78.06,36.61 ± 2.89 / 50.77 ± 2.37@@36.61,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/meta-llama/Llama-2-7b-chat-hf'>meta-llama/Llama-2-7b-chat-hf</a>,📝,-@@100,?,6738417664.0,32000.0,4096.0,✓,✗,39.01 ± 1.60 / 57.44 ± 1.34@@39.01,37.86 ± 2.50 / 25.63 ± 1.47@@37.86,12.58 ± 2.34 / 53.44 ± 3.46@@12.58,-@@-1,61.64 ± 0.17 / 4.79 ± 0.57@@61.64,3.13 ± 1.13 / 25.31 ± 1.09@@3.13,21.06 ± 2.53 / 43.70 ± 2.01@@21.06,11.32 ± 0.41 / 32.24 ± 0.79@@11.32,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,-@@0,15.3.1.dev0@@150301,15.6.1.dev0@@150601,15.6.1.dev0@@150601,9.3.1@@90301
<a href='https://hf.co/meta-llama/Llama-2-7b-hf'>meta-llama/Llama-2-7b-hf</a>,📝,-@@100,?,6738417664.0,32000.0,4096.0,✓,✗,43.91 ± 1.94 / 61.54 ± 2.33@@43.91,31.77 ± 3.29 / 22.31 ± 2.29@@31.77,0.31 ± 0.61 / 33.43 ± 0.23@@0.31,-@@-1,65.50 ± 0.82 / 19.96 ± 0.95@@65.50,1.55 ± 2.43 / 25.84 ± 1.63@@1.55,29.93 ± 3.25 / 52.93 ± 2.30@@29.93,7.93 ± 1.49 / 29.76 ± 0.92@@7.93,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,-@@0,12.6.1@@120601,14.2.0.dev0@@140200,15.2.0.dev0@@150200,9.2.0@@90200
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,-@@100,?,405868625920.0,128256.0,131072.0,✓,✗,60.84 ± 1.04 / 72.84 ± 0.85@@60.84,68.29 ± 1.89 / 58.59 ± 1.82@@68.29,65.16 ± 1.59 / 81.74 ± 1.02@@65.16,-@@-1,60.75 ± 4.53 / 13.68 ± 6.59@@60.75,86.53 ± 0.76 / 89.91 ± 0.57@@86.53,93.82 ± 0.90 / 95.89 ± 0.60@@93.82,78.34 ± 0.74 / 83.68 ± 0.57@@78.34,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,-@@0,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,-@@100,N/A,405853388800.0,128256.0,131072.0,✓,✗,51.89 ± 1.40 / 64.16 ± 1.52@@51.89,51.65 ± 4.29 / 45.16 ± 3.58@@51.65,70.64 ± 1.63 / 85.17 ± 0.92@@70.64,-@@-1,66.75 ± 0.27 / 24.20 ± 0.39@@66.75,88.83 ± 1.12 / 91.62 ± 0.85@@88.83,95.70 ± 0.83 / 97.12 ± 0.55@@95.70,73.48 ± 1.93 / 79.62 ± 1.65@@73.48,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,60.52 ± 1.22 / 72.91 ± 1.05@@60.52,68.57 ± 0.95 / 50.90 ± 2.30@@68.57,57.57 ± 0.79 / 78.54 ± 0.46@@57.57,-@@-1,68.01 ± 0.18 / 22.86 ± 0.45@@68.01,82.72 ± 0.95 / 87.07 ± 0.71@@82.72,93.85 ± 0.77 / 95.89 ± 0.52@@93.85,70.23 ± 1.06 / 77.20 ± 0.89@@70.23,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,-@@0,14.0.3@@140003,14.3.0@@140300,15.2.0.dev0@@150200,14.0.3@@140003
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,-@@100,N/A,470927360.0,501153.0,512.0,✓,✗,44.11 ± 1.96 / 62.18 ± 1.26@@44.11,66.23 ± 2.50 / 62.28 ± 1.83@@66.23,38.16 ± 10.84 / 68.19 ± 5.53@@38.16,28.39 ± 1.78 / 22.07 ± 1.49@@28.39,-@@-1,-@@-1,-@@-1,-@@-1,14.4.0@@140400,14.4.0@@140400,14.4.0@@140400,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/sentence-transformers/use-cmlm-multilingual'>sentence-transformers/use-cmlm-multilingual</a>,🔍,-@@100,N/A,472022179.0,501153.0,512.0,✓,✗,47.49 ± 2.12 / 65.03 ± 1.40@@47.49,63.05 ± 2.15 / 60.63 ± 1.64@@63.05,28.37 ± 14.38 / 62.14 ± 7.41@@28.37,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.3.0@@140300,14.3.0@@140300,14.3.0@@140300,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/sentence-transformers/stsb-xlm-r-multilingual'>sentence-transformers/stsb-xlm-r-multilingual</a>,🔍,-@@100,N/A,278045186.0,250002.0,512.0,✓,✗,42.26 ± 1.13 / 61.41 ± 0.76@@42.26,58.52 ± 1.78 / 55.04 ± 1.60@@58.52,34.80 ± 5.89 / 64.51 ± 4.90@@34.80,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/sentence-transformers/quora-distilbert-multilingual'>sentence-transformers/quora-distilbert-multilingual</a>,🔍,-@@100,N/A,135326210.0,119547.0,512.0,✓,✗,36.60 ± 1.60 / 56.93 ± 1.48@@36.60,54.48 ± 2.16 / 52.85 ± 2.28@@54.48,8.84 ± 5.33 / 51.76 ± 3.80@@8.84,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/sentence-transformers/paraphrase-xlm-r-multilingual-v1'>sentence-transformers/paraphrase-xlm-r-multilingual-v1</a>,🔍,-@@100,N/A,278045186.0,250002.0,512.0,✓,✗,46.39 ± 1.25 / 63.97 ± 1.08@@46.39,61.17 ± 2.09 / 58.41 ± 2.11@@61.17,38.61 ± 1.86 / 67.08 ± 1.08@@38.61,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2'>sentence-transformers/paraphrase-multilingual-mpnet-base-v2</a>,🔍,-@@100,N/A,278045186.0,250002.0,512.0,✓,✗,49.13 ± 0.82 / 65.84 ± 0.66@@49.13,61.18 ± 1.22 / 57.94 ± 1.56@@61.18,29.66 ± 7.69 / 63.05 ± 4.35@@29.66,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2'>sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2</a>,🔍,-@@100,N/A,117654530.0,250037.0,512.0,✓,✗,44.48 ± 1.32 / 63.11 ± 0.83@@44.48,56.75 ± 1.91 / 53.43 ± 1.87@@56.75,26.74 ± 1.94 / 62.19 ± 1.84@@26.74,0.19 ± 0.38 / 0.10 ± 0.20@@0.19,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,<9.2.0@@0,<9.2.0@@0,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/sentence-transformers/distiluse-base-multilingual-cased'>sentence-transformers/distiluse-base-multilingual-cased</a>,🔍,-@@100,N/A,134734080.0,119547.0,512.0,✓,✗,30.13 ± 2.10 / 46.78 ± 4.49@@30.13,26.96 ± 1.31 / 25.63 ± 1.35@@26.96,2.01 ± 1.29 / 48.79 ± 1.65@@2.01,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,12.6.1@@120601,12.6.1@@120601,12.6.1@@120601,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,-@@100,N/A,307531778.0,256000.0,8192.0,✓,✗,40.82 ± 2.25 / 59.48 ± 1.82@@40.82,54.79 ± 2.92 / 52.82 ± 2.61@@54.79,50.04 ± 6.75 / 74.66 ± 3.61@@50.04,31.87 ± 1.42 / 24.60 ± 1.70@@31.87,-@@-1,-@@-1,-@@-1,-@@-1,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/01-ai/Yi-1.5-34B'>01-ai/Yi-1.5-34B</a>,🧠,-@@100,N/A,34388917248.0,64000.0,4096.0,✓,✗,46.60 ± 2.70 / 63.44 ± 2.17@@46.60,51.71 ± 2.34 / 39.64 ± 2.53@@51.71,42.42 ± 1.28 / 69.56 ± 1.27@@42.42,-@@-1,66.90 ± 0.26 / 22.16 ± 0.53@@66.90,54.20 ± 1.49 / 65.64 ± 1.14@@54.20,63.13 ± 2.64 / 74.84 ± 1.91@@63.13,45.12 ± 1.23 / 58.74 ± 0.93@@45.12,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,-@@0,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802,15.8.2.dev0@@150802
<a href='https://hf.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B1000B</a>,🧠,-@@100,N/A,33119034368.0,131072.0,4099.0,✓,✗,45.05 ± 2.49 / 62.23 ± 1.84@@45.05,34.22 ± 2.47 / 22.52 ± 1.93@@34.22,9.40 ± 2.63 / 44.83 ± 4.69@@9.40,-@@-1,62.78 ± 0.97 / 15.36 ± 1.96@@62.78,0.43 ± 1.04 / 24.15 ± 0.82@@0.43,4.81 ± 3.43 / 36.58 ± 2.02@@4.81,1.77 ± 0.76 / 26.00 ± 0.65@@1.77,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,-@@0,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900,12.9.0@@120900
<a href='https://hf.co/LumiOpen/Viking-33B'>LumiOpen/Viking-33B</a>,🧠,-@@100,N/A,33119034368.0,131072.0,4096.0,✓,✗,51.09 ± 1.38 / 66.11 ± 1.18@@51.09,37.05 ± 1.82 / 25.38 ± 2.47@@37.05,23.65 ± 4.21 / 56.47 ± 5.47@@23.65,-@@-1,66.85 ± 0.82 / 21.61 ± 1.21@@66.85,8.92 ± 2.35 / 30.56 ± 2.25@@8.92,32.14 ± 4.30 / 53.73 ± 3.02@@32.14,1.72 ± 1.25 / 25.80 ± 0.95@@1.72,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/LumiOpen/Viking-7B'>LumiOpen/Viking-7B</a>,🧠,-@@100,N/A,7550013440.0,131072.0,4096.0,✓,✗,38.74 ± 2.15 / 49.48 ± 3.14@@38.74,23.98 ± 3.74 / 17.18 ± 2.86@@23.98,1.04 ± 1.57 / 33.67 ± 0.22@@1.04,-@@-1,61.96 ± 0.87 / 13.71 ± 1.26@@61.96,1.77 ± 1.69 / 23.08 ± 1.62@@1.77,-1.88 ± 3.61 / 35.12 ± 1.63@@-1.88,0.73 ± 0.90 / 25.11 ± 0.51@@0.73,12.7.0@@120700,12.7.0@@120700,12.7.0@@120700,-@@0,12.7.0@@120700,14.2.0@@140200,15.2.0.dev0@@150200,12.7.0@@120700
<a href='https://hf.co/MaLA-LM/emma-500-llama2-7b'>MaLA-LM/emma-500-llama2-7b</a>,🧠,-@@100,N/A,6738415616.0,32000.0,4096.0,✓,✗,32.21 ± 6.64 / 43.08 ± 8.44@@32.21,29.24 ± 2.78 / 24.99 ± 2.34@@29.24,2.42 ± 2.16 / 36.47 ± 4.15@@2.42,-@@-1,53.17 ± 1.03 / 9.73 ± 0.36@@53.17,3.28 ± 1.86 / 24.80 ± 1.05@@3.28,22.80 ± 2.08 / 48.32 ± 1.50@@22.80,4.73 ± 0.61 / 27.77 ± 0.53@@4.73,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,14.2.0@@140200,15.2.0.dev0@@150200,13.0.0@@130000
<a href='https://hf.co/Mabeck/Heidrun-Mistral-7B-base'>Mabeck/Heidrun-Mistral-7B-base</a>,🧠,-@@100,N/A,7241732096.0,32000.0,32768.0,✓,✗,39.38 ± 1.56 / 49.16 ± 2.84@@39.38,40.14 ± 2.41 / 28.08 ± 1.67@@40.14,21.85 ± 3.24 / 53.75 ± 4.63@@21.85,-@@-1,67.06 ± 1.05 / 23.60 ± 0.84@@67.06,19.33 ± 1.67 / 37.23 ± 1.73@@19.33,65.81 ± 2.17 / 77.10 ± 1.48@@65.81,16.26 ± 1.96 / 35.70 ± 1.73@@16.26,11.0.0@@110000,11.0.0@@110000,11.0.0@@110000,-@@0,12.6.1@@120601,14.2.0@@140200,15.2.0.dev0@@150200,11.0.0@@110000
<a href='https://hf.co/Mabeck/Heidrun-Mistral-7B-chat'>Mabeck/Heidrun-Mistral-7B-chat</a>,📝,-@@100,?,7241732096.0,32000.0,4096.0,✗,✗,49.86 ± 1.51 / 65.11 ± 1.52@@49.86,51.93 ± 1.66 / 34.88 ± 2.57@@51.93,20.25 ± 3.13 / 52.74 ± 4.16@@20.25,-@@-1,66.28 ± 0.28 / 20.94 ± 0.42@@66.28,18.85 ± 1.64 / 38.04 ± 1.08@@18.85,59.03 ± 2.13 / 71.79 ± 1.56@@59.03,16.39 ± 1.53 / 36.26 ± 1.38@@16.39,14.0.3@@140003,14.0.3@@140003,14.0.3@@140003,-@@0,14.0.3@@140003,14.2.0@@140200,15.2.0.dev0@@150200,14.0.3@@140003
<a href='https://hf.co/Maltehb/aelaectra-danish-electra-small-cased'>Maltehb/aelaectra-danish-electra-small-cased</a>,🔍,-@@100,N/A,13738498.0,32000.0,128.0,✓,✗,23.86 ± 5.74 / 39.05 ± 5.61@@23.86,0.94 ± 1.84 / 0.78 ± 1.53@@0.94,54.24 ± 1.41 / 74.90 ± 0.97@@54.24,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Maltehb/aelaectra-danish-electra-small-uncased'>Maltehb/aelaectra-danish-electra-small-uncased</a>,🔍,-@@100,N/A,13738498.0,32000.0,128.0,✓,✗,27.78 ± 2.35 / 43.44 ± 3.74@@27.78,19.21 ± 5.48 / 17.86 ± 4.34@@19.21,46.10 ± 10.11 / 69.83 ± 7.86@@46.10,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/Maltehb/danish-bert-botxo'>Maltehb/danish-bert-botxo</a>,🔍,-@@100,N/A,110618882.0,32000.0,512.0,✓,✗,35.44 ± 3.09 / 56.00 ± 2.41@@35.44,51.80 ± 1.82 / 47.31 ± 1.69@@51.80,12.74 ± 3.81 / 55.97 ± 1.80@@12.74,4.05 ± 1.05 / 2.41 ± 0.67@@4.05,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,16.3.0.dev0@@160300,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7'>MoritzLaurer/mDeBERTa-v3-base-xnli-multilingual-nli-2mil7</a>,🔍,-@@100,N/A,278810882.0,251000.0,512.0,✓,✗,37.70 ± 2.33 / 57.76 ± 1.94@@37.70,-@@-1,51.68 ± 5.63 / 74.01 ± 3.51@@51.68,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,<9.2.0@@0,-@@0,<9.2.0@@0,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/LumiOpen/Viking-13B'>LumiOpen/Viking-13B</a>,🧠,-@@100,N/A,14030361600.0,131072.0,4096.0,✓,✗,49.29 ± 1.60 / 61.53 ± 2.98@@49.29,26.19 ± 4.10 / 18.08 ± 2.12@@26.19,5.90 ± 2.21 / 42.02 ± 3.29@@5.90,-@@-1,64.05 ± 1.26 / 15.89 ± 1.59@@64.05,0.68 ± 1.83 / 24.81 ± 1.73@@0.68,7.46 ± 1.32 / 38.36 ± 1.53@@7.46,-0.13 ± 0.63 / 25.21 ± 0.77@@-0.13,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,-@@0,15.0.0@@150000,15.0.0@@150000,15.2.0.dev0@@150200,15.0.0@@150000
<a href='https://hf.co/NLPnorth/snakmodel-7b-base'>NLPnorth/snakmodel-7b-base</a>,🧠,-@@100,N/A,6738415616.0,32000.0,4096.0,✓,✗,44.71 ± 1.49 / 54.12 ± 2.35@@44.71,23.74 ± 3.07 / 16.59 ± 1.61@@23.74,21.24 ± 2.55 / 57.23 ± 2.64@@21.24,-@@-1,58.05 ± 1.71 / 10.44 ± 0.71@@58.05,13.88 ± 1.89 / 34.01 ± 1.36@@13.88,48.20 ± 1.03 / 64.97 ± 0.86@@48.20,5.51 ± 0.63 / 27.63 ± 0.81@@5.51,13.1.0@@130100,13.2.0@@130200,13.1.0@@130100,-@@0,13.2.0@@130200,14.2.0@@140200,15.2.0.dev0@@150200,13.2.0@@130200
<a href='https://hf.co/NbAiLab/nb-bert-base'>NbAiLab/nb-bert-base</a>,🔍,-@@100,N/A,178567165.0,119547.0,512.0,✓,✗,42.86 ± 1.58 / 61.65 ± 1.03@@42.86,63.83 ± 1.92 / 60.92 ± 1.67@@63.83,46.78 ± 10.63 / 71.28 ± 4.91@@46.78,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/nb-bert-large'>NbAiLab/nb-bert-large</a>,🔍,-@@100,N/A,356191570.0,50000.0,512.0,✓,✗,38.65 ± 7.23 / 58.32 ± 5.26@@38.65,64.69 ± 1.22 / 60.65 ± 1.36@@64.69,34.82 ± 10.17 / 66.11 ± 4.89@@34.82,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/nb-bert-ncc-male2female'>NbAiLab/nb-bert-ncc-male2female</a>,🔍,-@@100,N/A,177975035.0,119547.0,512.0,✓,✗,43.78 ± 1.76 / 61.92 ± 1.11@@43.78,61.49 ± 2.47 / 58.12 ± 1.83@@61.49,42.73 ± 8.81 / 67.77 ± 4.17@@42.73,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.8.2@@150802,15.8.2@@150802,15.8.2@@150802,-@@0,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/NbAiLab/nb-gpt-j-6B-alpaca'>NbAiLab/nb-gpt-j-6B-alpaca</a>,📝,-@@100,?,6055077088.0,50400.0,1024.0,✗,✗,27.68 ± 3.64 / 46.61 ± 4.11@@27.68,12.95 ± 3.80 / 11.68 ± 2.31@@12.95,1.65 ± 1.96 / 47.94 ± 2.55@@1.65,-@@-1,63.32 ± 0.32 / 16.03 ± 0.49@@63.32,4.38 ± 1.51 / 28.23 ± 1.18@@4.38,14.68 ± 2.35 / 41.45 ± 1.64@@14.68,-0.68 ± 1.31 / 25.00 ± 0.79@@-0.68,10.0.1@@100001,9.3.1@@90301,10.0.1@@100001,-@@0,12.6.1@@120601,14.2.0@@140200,15.2.0.dev0@@150200,10.0.1@@100001
<a href='https://hf.co/NbAiLab/nb-gpt-j-6B-v2'>NbAiLab/nb-gpt-j-6B-v2</a>,🧠,-@@100,N/A,6050882784.0,50400.0,1024.0,✗,✗,27.80 ± 6.39 / 43.80 ± 5.16@@27.80,0.24 ± 0.25 / 0.25 ± 0.21@@0.24,0.56 ± 0.51 / 34.04 ± 1.28@@0.56,-@@-1,53.76 ± 0.47 / 11.17 ± 0.49@@53.76,0.76 ± 1.75 / 25.88 ± 1.63@@0.76,10.03 ± 4.16 / 40.06 ± 2.15@@10.03,-0.48 ± 0.94 / 24.73 ± 0.61@@-0.48,10.0.1@@100001,9.3.1@@90301,11.0.0@@110000,-@@0,12.6.1@@120601,14.2.0@@140200,15.2.0.dev0@@150200,11.0.0@@110000
<a href='https://hf.co/NbAiLab/nb-gpt-j-6B'>NbAiLab/nb-gpt-j-6B</a>,🧠,-@@100,N/A,6055077088.0,50400.0,2048.0,✓,✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,0.22 ± 2.22 / 23.64 ± 1.12@@0.22,1.36 ± 2.47 / 35.66 ± 1.80@@1.36,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,14.2.0.dev0@@140200,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/NbAiLab/nb-gpt-j-6B'>NbAiLab/nb-gpt-j-6Bsharded</a>,🧠,-@@100,N/A,?,50400.0,1024.0,✓,✗,11.00 ± 7.09 / 26.09 ± 6.96@@11.00,0.36 ± 0.40 / 1.82 ± 1.16@@0.36,-0.11 ± 1.16 / 33.76 ± 0.86@@-0.11,-@@-1,51.83 ± 0.77 / 10.14 ± 0.49@@51.83,-0.96 ± 1.47 / 23.86 ± 1.33@@-0.96,3.51 ± 3.46 / 35.41 ± 2.22@@3.51,0.73 ± 1.39 / 25.54 ± 1.00@@0.73,10.0.1@@100001,9.3.1@@90301,10.0.1@@100001,-@@0,12.6.1@@120601,10.0.1@@100001,10.0.1@@100001,10.0.1@@100001
<a href='https://hf.co/NLPnorth/snakmodel-7b-instruct'>NLPnorth/snakmodel-7b-instruct</a>,📝,-@@100,?,6738415616.0,32000.0,4096.0,✗,✗,50.46 ± 1.30 / 64.72 ± 2.20@@50.46,35.82 ± 4.16 / 29.62 ± 3.38@@35.82,18.60 ± 3.80 / 52.87 ± 6.20@@18.60,-@@-1,66.71 ± 0.63 / 21.52 ± 0.74@@66.71,8.39 ± 1.54 / 28.81 ± 1.03@@8.39,41.75 ± 3.04 / 59.24 ± 2.06@@41.75,9.33 ± 1.03 / 29.66 ± 0.99@@9.33,13.2.0@@130200,13.2.0@@130200,13.2.0@@130200,-@@0,13.2.0@@130200,14.2.0@@140200,15.2.0.dev0@@150200,13.2.0@@130200
<a href='https://hf.co/LumiOpen/Llama-Poro-2-70B-SFT'>LumiOpen/Llama-Poro-2-70B-SFT</a>,📝,-@@100,?,70553706496.0,128256.0,8192.0,✓,✗,59.10 ± 0.76 / 71.94 ± 0.42@@59.10,66.44 ± 1.69 / 47.50 ± 2.59@@66.44,39.54 ± 1.78 / 60.68 ± 1.71@@39.54,-@@-1,68.02 ± 0.20 / 23.21 ± 0.46@@68.02,77.28 ± 1.10 / 82.98 ± 0.82@@77.28,89.26 ± 1.25 / 92.82 ± 0.83@@89.26,67.67 ± 0.69 / 75.18 ± 0.58@@67.67,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,-@@0,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100,15.11.0@@151100
