<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B</a>,🧠,-@@100,N/A,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,3.26 ± 1.22 / 27.26 ± 1.02@@3.26,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,-@@100,0.39,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,37.93 ± 0.37 / 39.31 ± 0.47@@37.93,35.58 ± 1.74 / 51.48 ± 1.37@@35.58,-@@-1,-@@0,-@@0,-@@0,-@@0,16.17.0.dev0@@161700,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct</a>,📝,-@@100,?,108641793536.0,200000.0,?,✓,✗,(✓),✓,52.60 ± 1.42 / 67.19 ± 1.17@@52.60,53.00 ± 2.16 / 45.06 ± 2.96@@53.00,35.83 ± 1.47 / 67.50 ± 0.95@@35.83,51.45 ± 1.09 / 24.39 ± 1.64@@51.45,-@@-1,32.69 ± 1.13 / 49.53 ± 0.85@@32.69,47.13 ± 2.43 / 72.83 ± 1.32@@47.13,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,-@@0,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E</a>,📝,-@@100,?,108641793536.0,200000.0,?,✓,✗,(✓),✓,42.96 ± 1.97 / 58.61 ± 2.14@@42.96,63.90 ± 1.47 / 56.23 ± 3.31@@63.90,10.23 ± 4.59 / 44.23 ± 5.69@@10.23,34.26 ± 4.08 / 0.69 ± 0.28@@34.26,-@@-1,33.44 ± 3.73 / 48.83 ± 4.05@@33.44,37.86 ± 3.52 / 68.07 ± 2.10@@37.86,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct</a>,📝,-@@100,?,70553706496.0,128256.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,32.54 ± 1.66 / 49.35 ± 1.18@@32.54,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,-@@100,N/A,70553706496.0,128256.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,29.94 ± 1.75 / 46.97 ± 1.31@@29.94,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct</a>,📝,-@@100,?,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.08 ± 0.97 / 36.03 ± 0.90@@15.08,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B</a>,🧠,-@@100,N/A,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,14.43 ± 1.08 / 35.55 ± 0.79@@14.43,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/microsoft/Phi-3-mini-128k-instruct'>microsoft/Phi-3-mini-128k-instruct</a>,📝,-@@100,?,3821079552.0,32064.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,7.17 ± 1.37 / 29.87 ± 0.96@@7.17,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning</a>,🤔,-@@100,?,3836021760.0,200064.0,131072.0,✓,✗,(✓),✓,-1.52 ± 3.11 / 23.98 ± 3.82@@-1.52,13.86 ± 2.48 / 13.39 ± 2.33@@13.86,1.17 ± 1.74 / 40.45 ± 3.89@@1.17,7.32 ± 1.00 / 0.00 ± 0.00@@7.32,-@@-1,1.21 ± 2.02 / 26.04 ± 1.32@@1.21,1.24 ± 3.10 / 49.78 ± 2.76@@1.24,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/mistralai/Mistral-Small-24B-Instruct-2501'>mistralai/Mistral-Small-24B-Instruct-2501</a>,📝,-@@100,?,23572403200.0,131072.0,32768.0,✓,✗,(✓),✓,46.16 ± 1.65 / 61.71 ± 1.40@@46.16,59.12 ± 2.79 / 36.96 ± 2.89@@59.12,20.19 ± 2.15 / 53.36 ± 2.61@@20.19,53.13 ± 1.55 / 26.61 ± 1.35@@53.13,-@@-1,29.38 ± 1.76 / 45.59 ± 1.74@@29.38,30.48 ± 2.74 / 63.78 ± 1.68@@30.48,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,-@@0,15.2.0.dev0@@150200,15.0.0@@150000
<a href='https://hf.co/mistralai/Mixtral-8x7B-v0.1'>mistralai/Mixtral-8x7B-v0.1</a>,🧠,-@@100,N/A,46702792704.0,32000.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,16.98 ± 1.14 / 36.91 ± 0.77@@16.98,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/occiglot/occiglot-7b-eu5-instruct'>occiglot/occiglot-7b-eu5-instruct</a>,📝,-@@100,14.14,7241748480.0,32002.0,32768.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,34.47 ± 1.49 / 36.61 ± 1.66@@34.47,2.71 ± 1.86 / 26.71 ± 1.62@@2.71,-@@-1,-@@0,-@@0,-@@0,-@@0,16.15.0.dev0@@161500,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,-@@100,N/A,7241732096.0,32000.0,32768.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,22.94 ± 3.26 / 23.74 ± 3.47@@22.94,2.51 ± 0.90 / 26.58 ± 1.08@@2.51,-@@-1,-@@0,-@@0,-@@0,-@@0,16.15.0.dev0@@161500,15.2.0.dev0@@150200,-@@0
<a href='https://ollama.com/library/gemma3:12b-it-fp16'>ollama_chat/gemma3:12b-it-fp16 (val)</a>,📝,-@@100,?,12187325040.0,262144.0,128000.0,✓,✗,✗,✓,50.56 ± 2.85 / 65.77 ± 1.86@@50.56,66.00 ± 3.94 / 43.87 ± 2.87@@66.00,32.22 ± 4.63 / 64.00 ± 2.54@@32.22,51.26 ± 1.71 / 23.51 ± 2.64@@51.26,-@@-1,25.80 ± 4.59 / 45.00 ± 3.36@@25.80,38.29 ± 5.66 / 69.69 ± 2.56@@38.29,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.3.1@@150301
<a href='https://ollama.com/library/gemma3:12b-it-q4_K_M'>ollama_chat/gemma3:12b-it-q4_K_M (val)</a>,📝,-@@100,?,12200000000.0,262144.0,128000.0,✓,✗,✗,✓,51.58 ± 2.93 / 66.21 ± 1.81@@51.58,67.16 ± 4.06 / 46.73 ± 3.73@@67.16,30.84 ± 4.54 / 62.70 ± 3.70@@30.84,50.55 ± 1.67 / 23.01 ± 2.10@@50.55,-@@-1,26.10 ± 5.29 / 45.39 ± 4.03@@26.10,28.44 ± 3.41 / 65.08 ± 1.65@@28.44,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.0.dev0@@150300,15.3.0.dev0@@150300,-@@0,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://ollama.com/library/gemma3:1b'>ollama_chat/gemma3:1b</a>,📝,-@@100,?,1000000000.0,262144.0,32768.0,✓,✗,✗,✓,2.50 ± 1.79 / 21.08 ± 2.39@@2.50,16.72 ± 2.33 / 15.70 ± 1.76@@16.72,2.33 ± 1.26 / 45.26 ± 3.22@@2.33,32.10 ± 2.02 / 13.26 ± 1.33@@32.10,-@@-1,1.34 ± 1.15 / 25.21 ± 1.01@@1.34,-0.08 ± 2.71 / 54.30 ± 2.67@@-0.08,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.3.1@@150301,-@@0,15.3.1@@150301,15.3.1@@150301
<a href='https://ollama.com/library/gemma3:27b-it-fp16'>ollama_chat/gemma3:27b-it-fp16</a>,📝,-@@100,?,?,?,?,✓,✗,✗,✓,53.21 ± 1.61 / 67.61 ± 1.11@@53.21,67.61 ± 2.05 / 55.14 ± 3.31@@67.61,33.58 ± 1.67 / 66.30 ± 0.89@@33.58,48.50 ± 1.25 / 19.10 ± 2.44@@48.50,-@@-1,29.94 ± 1.42 / 46.71 ± 1.15@@29.94,-@@-1,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,-@@0
<a href='https://ollama.com/library/gemma3:27b-it-q4_K_M'>ollama_chat/gemma3:27b-it-q4_K_M (val)</a>,📝,-@@100,?,27400000000.0,262144.0,128000.0,✓,✗,✗,✓,49.68 ± 3.11 / 64.46 ± 2.04@@49.68,68.35 ± 2.65 / 56.99 ± 2.92@@68.35,36.59 ± 2.50 / 67.99 ± 1.45@@36.59,51.25 ± 1.51 / 21.53 ± 2.75@@51.25,-@@-1,33.16 ± 3.90 / 50.47 ± 2.72@@33.16,57.12 ± 2.71 / 78.52 ± 1.37@@57.12,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,-@@0,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://ollama.com/library/gemma3:4b-it-q4_K_M'>ollama_chat/gemma3:4b-it-q4_K_M</a>,📝,-@@100,?,4299915632.0,262144.0,128000.0,✓,✗,✗,✓,38.35 ± 1.13 / 57.37 ± 0.94@@38.35,47.95 ± 1.88 / 35.61 ± 3.17@@47.95,12.45 ± 1.66 / 55.90 ± 0.84@@12.45,42.62 ± 1.77 / 15.09 ± 1.10@@42.62,-@@-1,10.19 ± 1.07 / 31.97 ± 1.14@@10.19,6.11 ± 3.32 / 54.12 ± 1.98@@6.11,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1.dev0@@150301,15.3.1.dev0@@150301
<a href='https://ollama.com/library/hf.co'>ollama_chat/hf.co/google/gemma-3-4b-it-qat-q4_0-gguf</a>,📝,-@@100,?,3880099328.0,?,131072.0,✓,✗,✗,✓,41.14 ± 3.24 / 58.86 ± 2.99@@41.14,49.52 ± 1.29 / 31.57 ± 2.16@@49.52,13.21 ± 1.98 / 53.47 ± 1.76@@13.21,45.62 ± 1.68 / 17.88 ± 1.55@@45.62,-@@-1,11.93 ± 1.65 / 32.77 ± 1.29@@11.93,4.62 ± 3.54 / 54.90 ± 1.41@@4.62,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,-@@0,15.6.1@@150601,15.6.1@@150601
<a href='https://ollama.com/library/phi4:14b-q4_K_M'>ollama_chat/phi4:14b-q4_K_M (val)</a>,📝,-@@100,?,14700000000.0,100352.0,16384.0,✓,✗,✗,✓,43.86 ± 3.54 / 61.51 ± 2.46@@43.86,55.99 ± 1.92 / 46.21 ± 3.76@@55.99,27.16 ± 4.79 / 62.00 ± 4.08@@27.16,60.66 ± 1.70 / 24.21 ± 3.66@@60.66,-@@-1,32.64 ± 3.93 / 49.69 ± 2.70@@32.64,28.24 ± 7.67 / 65.16 ± 3.64@@28.24,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,15.3.0.dev0@@150300,-@@0,15.3.0.dev0@@150300,15.3.0.dev0@@150300
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-commercial-v0.4'>openGPT-X/Teuken-7B-instruct-commercial-v0.4</a>,📝,-@@100,?,7452725248.0,250680.0,4096.0,✓,✗,(✓),✗,-0.51 ± 3.34 / 26.26 ± 1.87@@-0.51,27.21 ± 1.30 / 21.79 ± 2.29@@27.21,0.53 ± 1.14 / 44.06 ± 3.45@@0.53,44.18 ± 2.13 / 15.14 ± 2.48@@44.18,-@@-1,-1.38 ± 1.54 / 25.21 ± 1.24@@-1.38,-@@-1,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,15.2.0.dev0@@150200,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/openGPT-X/Teuken-7B-instruct-research-v0.4'>openGPT-X/Teuken-7B-instruct-research-v0.4</a>,📝,-@@100,?,7452725248.0,250680.0,4096.0,✗,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,1.61 ± 2.05 / 26.13 ± 1.54@@1.61,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/openai-community/gpt2-large'>openai-community/gpt2-large</a>,🧠,-@@100,N/A,811778816.0,50257.0,1024.0,✓,✗,(✓),✗,0.00 ± 0.00 / 17.87 ± 0.22@@0.00,1.53 ± 1.91 / 1.92 ± 2.32@@1.53,-0.00 ± 1.27 / 37.65 ± 3.86@@-0.00,0.31 ± 0.21 / 0.01 ± 0.03@@0.31,-@@-1,-0.21 ± 1.95 / 24.51 ± 1.39@@-0.21,-0.93 ± 2.04 / 34.73 ± 9.12@@-0.93,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,-@@0,15.4.1@@150401,15.4.1@@150401
<a href='https://hf.co/openai-community/gpt2-medium'>openai-community/gpt2-medium</a>,🧠,-@@100,N/A,379988992.0,50257.0,1024.0,✓,✗,(✓),✗,0.00 ± 0.00 / 17.87 ± 0.22@@0.00,2.33 ± 2.69 / 2.65 ± 2.83@@2.33,-0.12 ± 0.75 / 35.84 ± 3.21@@-0.12,0.50 ± 0.41 / 0.12 ± 0.13@@0.50,-@@-1,-0.31 ± 0.81 / 25.09 ± 1.20@@-0.31,3.57 ± 4.35 / 56.33 ± 1.45@@3.57,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,-@@0,15.4.1@@150401,15.4.1@@150401
<a href='https://hf.co/openai-community/gpt2'>openai-community/gpt2</a>,🧠,-@@100,N/A,137022720.0,50257.0,1024.0,✓,✗,(✓),✗,0.00 ± 0.00 / 17.87 ± 0.22@@0.00,0.65 ± 0.85 / 1.34 ± 1.60@@0.65,-0.08 ± 0.64 / 37.07 ± 3.13@@-0.08,0.27 ± 0.19 / 0.01 ± 0.03@@0.27,-@@-1,-0.33 ± 1.73 / 25.93 ± 0.85@@-0.33,-0.05 ± 1.37 / 56.44 ± 0.99@@-0.05,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,15.4.1@@150401,-@@0,15.4.1@@150401,15.4.1@@150401
"<a href='https://platform.openai.com/docs/models/o4-mini'>o4-mini-2025-04-16 (zero-shot, val)</a>",🤔,-@@100,?,?,?,200000.0,✓,✗,✗,✓,50.35 ± 3.05 / 65.18 ± 2.00@@50.35,72.86 ± 1.84 / 51.88 ± 2.16@@72.86,53.35 ± 2.16 / 73.00 ± 1.32@@53.35,47.12 ± 1.06 / 24.59 ± 1.32@@47.12,-@@-1,57.15 ± 3.43 / 66.95 ± 2.62@@57.15,66.27 ± 3.97 / 83.05 ± 2.15@@66.27,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,15.6.1.dev0@@150601,-@@0,15.6.1.dev0@@150601,15.6.1.dev0@@150601
<a href='https://hf.co/mistralai/Mixtral-8x7B-Instruct-v0.1'>mistralai/Mixtral-8x7B-Instruct-v0.1</a>,📝,-@@100,?,46702792704.0,32000.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,17.15 ± 1.26 / 37.10 ± 1.01@@17.15,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
"<a href='https://platform.openai.com/docs/models/o3-mini'>o3-mini-2025-01-31 (zero-shot, val)</a>",🤔,-@@100,?,?,?,200000.0,✓,✗,✗,✓,48.30 ± 2.14 / 63.44 ± 1.52@@48.30,23.27 ± 2.73 / 18.92 ± 1.84@@23.27,28.86 ± 4.23 / 64.36 ± 2.14@@28.86,48.77 ± 0.93 / 28.03 ± 1.14@@48.77,-@@-1,36.38 ± 4.14 / 51.88 ± 3.13@@36.38,51.99 ± 4.37 / 75.55 ± 2.35@@51.99,15.7.0.dev0@@150700,15.7.2.dev0@@150702,15.7.2.dev0@@150702,15.7.2.dev0@@150702,-@@0,15.7.2.dev0@@150702,15.7.2.dev0@@150702
<a href='https://hf.co/nvidia/mistral-nemo-minitron-8b-instruct'>nvidia/mistral-nemo-minitron-8b-instruct</a>,📝,-@@100,?,8414105600.0,131072.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,17.08 ± 1.20 / 37.77 ± 0.93@@17.08,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/mistralai/Voxtral-Mini-3B-2507'>mistralai/Voxtral-Mini-3B-2507</a>,📝,-@@100,?,4676271104.0,131072.0,?,✓,✗,(✓),✓,21.47 ± 3.27 / 36.18 ± 4.95@@21.47,39.04 ± 4.79 / 29.03 ± 2.76@@39.04,1.65 ± 1.86 / 39.14 ± 3.85@@1.65,54.94 ± 2.93 / 29.44 ± 1.62@@54.94,-@@-1,11.98 ± 1.29 / 33.57 ± 0.88@@11.98,1.54 ± 3.12 / 55.00 ± 1.64@@1.54,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/mlabonne/NeuralBeagle14-7B'>mlabonne/NeuralBeagle14-7B (val)</a>,📝,-@@100,?,7241732096.0,32000.0,8192.0,✗,✓,(✓),✗,-@@-1,49.86 ± 4.28 / 42.54 ± 5.03@@49.86,1.26 ± 3.83 / 48.46 ± 2.37@@1.26,-@@-1,-@@-1,-@@-1,-@@-1,-@@0,9.3.2@@90302,9.3.2@@90302,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/neuralmagic/Sparse-Llama-3.1-8B-2of4'>neuralmagic/Sparse-Llama-3.1-8B-2of4</a>,🧠,-@@100,N/A,8030261248.0,128256.0,131072.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,3.73 ± 0.96 / 27.82 ± 0.89@@3.73,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
<a href='https://hf.co/neurocode/IsRoBERTa'>neurocode/IsRoBERTa</a>,🔍,-@@100,N/A,83452418.0,52000.0,514.0,✓,✗,(✓),✗,38.63 ± 1.86 / 55.62 ± 1.29@@38.63,57.14 ± 0.92 / 55.79 ± 0.74@@57.14,3.63 ± 2.66 / 50.23 ± 2.22@@3.63,30.41 ± 0.61 / 7.32 ± 0.54@@30.41,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0
<a href='https://hf.co/norallm/normistral-11b-long'>norallm/normistral-11b-long</a>,🧠,-@@100,N/A,11429893120.0,51200.0,32768.0,✓,✗,(✓),✗,26.39 ± 1.94 / 38.57 ± 0.96@@26.39,48.11 ± 3.24 / 40.43 ± 3.32@@48.11,0.00 ± 0.00 / 33.36 ± 0.27@@0.00,59.60 ± 1.95 / 33.10 ± 2.47@@59.60,-@@-1,12.12 ± 1.37 / 33.32 ± 1.15@@12.12,6.97 ± 2.60 / 50.87 ± 2.04@@6.97,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,-@@0,16.10.0.dev0@@161000,16.10.0.dev0@@161000
<a href='https://hf.co/norallm/normistral-11b-thinking'>norallm/normistral-11b-thinking</a>,🤔,-@@100,?,11429893120.0,51200.0,1024000.0,✓,✗,(✓),✗,35.46 ± 3.81 / 55.00 ± 2.26@@35.46,42.44 ± 1.11 / 29.13 ± 2.18@@42.44,18.97 ± 2.33 / 58.28 ± 0.71@@18.97,43.89 ± 1.31 / 18.54 ± 1.08@@43.89,-@@-1,11.33 ± 1.80 / 33.16 ± 1.42@@11.33,3.28 ± 3.38 / 51.82 ± 2.78@@3.28,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,16.11.0.dev0@@161100,-@@0,16.11.0.dev0@@161100,16.11.0.dev0@@161100
<a href='https://hf.co/norallm/normistral-11b-warm'>norallm/normistral-11b-warm</a>,🧠,-@@100,N/A,11429893120.0,51200.0,1024000.0,✓,✗,(✓),✗,44.41 ± 1.49 / 59.99 ± 1.25@@44.41,51.40 ± 1.84 / 41.62 ± 2.87@@51.40,5.74 ± 1.55 / 48.16 ± 3.65@@5.74,58.02 ± 1.90 / 29.96 ± 3.27@@58.02,-@@-1,9.72 ± 1.15 / 31.19 ± 0.57@@9.72,5.93 ± 2.79 / 50.88 ± 3.02@@5.93,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,15.0.0@@150000,-@@0,15.2.0.dev0@@150200,15.0.0@@150000
<a href='https://hf.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF'>nvidia/Llama-3.1-Nemotron-70B-Instruct-HF</a>,📝,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,52.21 ± 1.17 / 65.44 ± 0.97@@52.21,55.69 ± 2.07 / 24.14 ± 1.12@@55.69,19.74 ± 1.62 / 57.04 ± 1.49@@19.74,50.46 ± 0.97 / 21.10 ± 0.67@@50.46,-@@-1,30.83 ± 0.99 / 47.79 ± 0.74@@30.83,46.22 ± 2.88 / 73.25 ± 1.55@@46.22,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.3.1@@150301
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,-@@100,5.82,31577937344.0,131072.0,262144.0,✓,✗,✗,✓,5.70 ± 2.90 / 26.22 ± 3.95@@5.70,46.73 ± 4.57 / 27.44 ± 2.67@@46.73,8.66 ± 0.93 / 41.74 ± 1.43@@8.66,50.91 ± 2.06 / 24.93 ± 1.71@@50.91,-@@-1,15.62 ± 1.82 / 34.72 ± 1.02@@15.62,4.93 ± 2.46 / 54.89 ± 1.19@@4.93,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,16.10.0.dev0@@161000,-@@0,16.10.0.dev0@@161000,16.10.0.dev0@@161000
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2#no-thinking</a>,📝,-@@100,?,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,0.00 ± 0.00 / 15.71 ± 0.27@@0.00,50.58 ± 2.36 / 31.09 ± 3.51@@50.58,0.43 ± 0.57 / 33.52 ± 0.36@@0.43,3.29 ± 0.06 / 0.00 ± 0.00@@3.29,-@@-1,0.00 ± 0.00 / 25.67 ± 1.08@@0.00,0.00 ± 0.00 / 56.44 ± 1.01@@0.00,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2</a>,🤔,-@@100,?,8888227328.0,131072.0,131072.0,✓,✗,✗,✓,20.01 ± 5.28 / 45.77 ± 3.72@@20.01,40.26 ± 1.26 / 23.44 ± 0.93@@40.26,7.70 ± 1.86 / 52.80 ± 1.02@@7.70,40.52 ± 1.37 / 20.66 ± 1.11@@40.52,-@@-1,15.17 ± 1.24 / 36.31 ± 0.99@@15.17,10.79 ± 2.47 / 55.30 ± 1.22@@10.79,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/nvidia/Nemotron-Cascade-2-30B-A3B'>nvidia/Nemotron-Cascade-2-30B-A3B (val)</a>,🤔,-@@100,?,31577937344.0,131072.0,262144.0,✓,✗,(✓),✓,36.82 ± 3.22 / 55.98 ± 2.10@@36.82,54.53 ± 2.03 / 35.91 ± 1.94@@54.53,9.24 ± 1.78 / 41.40 ± 0.94@@9.24,35.28 ± 2.04 / 14.63 ± 1.76@@35.28,-@@-1,-@@-1,-@@-1,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,17.1.0.dev0@@170100,-@@0,-@@0,-@@0
<a href='https://hf.co/nvidia/mistral-nemo-minitron-8b-base'>nvidia/mistral-nemo-minitron-8b-base</a>,🧠,-@@100,N/A,8414105600.0,131072.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,15.68 ± 1.48 / 36.14 ± 1.16@@15.68,-@@-1,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,-@@0
