<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,<a id=9 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=10 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=11 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=12 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=13 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=14 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,
<a href='https://hf.co/HuggingFaceTB/SmolLM2-1.7B'>HuggingFaceTB/SmolLM2-1.7B</a>,🧠,3.35@@3.35,N/A,1711376384.0,49152.0,8192.0,✓,✗,73.00 ± 2.38 / 86.25 ± 1.33@@73.00,26.52 ± 1.53 / 16.79 ± 1.75@@26.52,0.22 ± 2.10 / 43.01 ± 2.96@@0.22,38.86 ± 3.40 / 24.06 ± 3.01@@38.86,58.13 ± 0.66 / 7.05 ± 0.46@@58.13,1.19 ± 0.50 / 25.94 ± 0.28@@1.19,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-7B</a>,🤔,3.36@@3.36,?,7615616512.0,152064.0,131072.0,✓,✗,75.62 ± 1.48 / 87.63 ± 0.76@@75.62,31.01 ± 1.43 / 21.00 ± 0.90@@31.01,0.72 ± 1.45 / 45.06 ± 1.69@@0.72,30.45 ± 1.17 / 10.03 ± 1.49@@30.45,56.95 ± 0.47 / 3.63 ± 0.34@@56.95,3.24 ± 1.51 / 27.42 ± 0.89@@3.24,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B'>deepseek-ai/DeepSeek-R1-Distill-Llama-8B</a>,🤔,3.40@@3.40,?,8030261248.0,128256.0,131072.0,✓,✗,76.09 ± 2.11 / 87.73 ± 1.12@@76.09,29.19 ± 0.86 / 19.34 ± 0.68@@29.19,3.65 ± 1.90 / 48.64 ± 1.93@@3.65,24.18 ± 0.83 / 1.13 ± 0.38@@24.18,57.80 ± 0.49 / 3.26 ± 0.33@@57.80,0.57 ± 0.90 / 25.77 ± 0.29@@0.57,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/PleIAs/Pleias-1.2b-Preview'>PleIAs/Pleias-1.2b-Preview</a>,🧠,3.40@@3.40,N/A,1195468800.0,65536.0,2048.0,✓,✗,47.46 ± 10.51 / 66.51 ± 8.92@@47.46,25.49 ± 1.62 / 20.08 ± 1.99@@25.49,0.30 ± 1.39 / 36.15 ± 3.12@@0.30,47.75 ± 1.81 / 34.24 ± 2.17@@47.75,59.35 ± 2.22 / 7.78 ± 0.47@@59.35,-0.53 ± 1.07 / 23.91 ± 1.24@@-0.53,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1</a>,📝,3.40@@3.40,?,7241732096.0,32000.0,32768.0,✓,✗,43.36 ± 2.36 / 65.13 ± 2.07@@43.36,19.71 ± 2.16 / 13.80 ± 0.73@@19.71,3.21 ± 2.45 / 43.96 ± 3.20@@3.21,49.09 ± 3.52 / 31.00 ± 4.42@@49.09,60.16 ± 0.48 / 6.44 ± 0.36@@60.16,-0.33 ± 1.15 / 25.86 ± 0.59@@-0.33,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/yulan-team/YuLan-Mini-Instruct'>yulan-team/YuLan-Mini-Instruct</a>,📝,3.42@@3.42,0.18,2424375168.0,99000.0,28723.0,✗,✗,58.06 ± 8.93 / 74.17 ± 7.47@@58.06,26.83 ± 1.20 / 16.23 ± 1.06@@26.83,2.12 ± 1.97 / 44.14 ± 4.31@@2.12,34.54 ± 2.69 / 7.09 ± 3.33@@34.54,59.22 ± 0.76 / 6.21 ± 0.31@@59.22,2.56 ± 1.59 / 26.81 ± 1.13@@2.56,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-14B</a>,🤔,3.43@@3.43,?,14770033664.0,152064.0,131072.0,✓,✗,49.45 ± 6.38 / 68.10 ± 4.99@@49.45,43.84 ± 1.97 / 23.61 ± 1.19@@43.84,0.23 ± 1.95 / 33.78 ± 0.39@@0.23,26.83 ± 1.15 / 6.80 ± 1.26@@26.83,57.04 ± 0.16 / 2.30 ± 0.16@@57.04,9.78 ± 1.37 / 30.34 ± 0.84@@9.78,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/BSC-LT/salamandra-7b-instruct'>BSC-LT/salamandra-7b-instruct</a>,📝,3.43@@3.43,0.56,7768117248.0,256000.0,8192.0,✓,✗,91.20 ± 0.65 / 95.59 ± 0.32@@91.20,23.30 ± 1.42 / 17.59 ± 1.11@@23.30,1.09 ± 1.51 / 36.52 ± 4.08@@1.09,15.94 ± 0.95 / 0.00 ± 0.00@@15.94,58.18 ± 0.14 / 3.62 ± 0.07@@58.18,4.74 ± 1.52 / 27.61 ± 1.12@@4.74,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview'>utter-project/EuroMoE-2.6B-A0.6B-Instruct-Preview</a>,📝,3.46@@3.46,3.66,2611528704.0,128000.0,4096.0,✓,✗,29.81 ± 12.89 / 51.02 ± 10.04@@29.81,12.10 ± 3.29 / 9.70 ± 1.25@@12.10,2.28 ± 1.72 / 36.44 ± 2.94@@2.28,58.21 ± 1.36 / 37.76 ± 1.90@@58.21,61.41 ± 0.12 / 7.11 ± 0.15@@61.41,-0.34 ± 1.29 / 25.82 ± 0.90@@-0.34,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/kyutai/helium-1-2b'>kyutai/helium-1-2b</a>,🧠,3.47@@3.47,N/A,2023868416.0,64000.0,4096.0,✓,✗,0.00 ± 0.00 / 33.16 ± 0.42@@0.00,27.51 ± 3.97 / 19.82 ± 2.35@@27.51,-1.25 ± 1.85 / 36.79 ± 3.46@@-1.25,67.85 ± 1.31 / 51.51 ± 1.66@@67.85,62.52 ± 0.68 / 10.10 ± 0.34@@62.52,3.28 ± 0.73 / 27.40 ± 0.56@@3.28,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000
<a href='https://hf.co/google/gemma-3-1b-it'>google/gemma-3-1b-it</a>,📝,3.47@@3.47,8.03,999885952.0,262144.0,32768.0,✓,✗,47.07 ± 8.76 / 65.77 ± 7.79@@47.07,31.77 ± 2.71 / 21.56 ± 1.85@@31.77,4.02 ± 2.09 / 43.28 ± 4.38@@4.02,21.42 ± 2.00 / 0.96 ± 1.22@@21.42,60.78 ± 0.61 / 7.27 ± 0.42@@60.78,3.29 ± 1.69 / 27.70 ± 1.07@@3.29,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/facebook/MobileLLM-R1-950M-base'>facebook/MobileLLM-R1-950M-base</a>,🧠,3.55@@3.55,N/A,949685760.0,128256.0,4096.0,✗,✗,73.48 ± 1.65 / 86.23 ± 1.04@@73.48,25.69 ± 2.23 / 18.33 ± 1.21@@25.69,-1.38 ± 1.35 / 43.39 ± 3.00@@-1.38,44.84 ± 1.83 / 29.32 ± 2.03@@44.84,49.01 ± 1.80 / 4.70 ± 0.34@@49.01,1.70 ± 0.68 / 25.93 ± 0.69@@1.70,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/PleIAs/Pleias-3b-Preview'>PleIAs/Pleias-3b-Preview</a>,🧠,3.59@@3.59,N/A,3211926528.0,65536.0,4096.0,✓,✗,44.90 ± 10.49 / 63.51 ± 8.93@@44.90,18.00 ± 5.86 / 15.89 ± 4.23@@18.00,0.37 ± 2.09 / 45.01 ± 3.88@@0.37,44.74 ± 3.79 / 31.43 ± 3.65@@44.74,56.84 ± 2.85 / 7.52 ± 0.36@@56.84,-1.46 ± 1.40 / 25.09 ± 0.88@@-1.46,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/microsoft/Phi-4-mini-reasoning'>microsoft/Phi-4-mini-reasoning</a>,🤔,3.59@@3.59,?,3836021760.0,200064.0,131072.0,✓,✗,60.90 ± 6.45 / 78.25 ± 5.21@@60.90,33.48 ± 1.90 / 25.81 ± 1.56@@33.48,4.17 ± 1.76 / 45.03 ± 3.28@@4.17,7.66 ± 1.44 / 0.00 ± 0.00@@7.66,55.58 ± 0.28 / 3.29 ± 0.08@@55.58,6.38 ± 1.43 / 29.66 ± 0.94@@6.38,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/common-pile/comma-v0.1-2t'>common-pile/comma-v0.1-2t</a>,🧠,3.67@@3.67,N/A,7002656768.0,64256.0,16384.0,✓,✗,57.95 ± 2.22 / 78.29 ± 1.51@@57.95,26.56 ± 4.32 / 20.58 ± 2.52@@26.56,0.77 ± 1.54 / 34.42 ± 1.58@@0.77,31.89 ± 4.60 / 17.10 ± 2.34@@31.89,52.22 ± 1.20 / 5.21 ± 0.43@@52.22,1.28 ± 0.93 / 24.56 ± 1.10@@1.28,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/common-pile/comma-v0.1-1t'>common-pile/comma-v0.1-1t</a>,🧠,3.72@@3.72,N/A,7002656768.0,64256.0,16384.0,✓,✗,37.85 ± 6.96 / 65.10 ± 5.00@@37.85,27.17 ± 2.49 / 18.66 ± 1.93@@27.17,1.74 ± 1.79 / 39.11 ± 3.99@@1.74,25.54 ± 3.69 / 15.52 ± 2.57@@25.54,54.96 ± 2.16 / 5.37 ± 0.74@@54.96,0.50 ± 1.28 / 22.30 ± 0.56@@0.50,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/utter-project/EuroVLM-1.7B-Preview'>utter-project/EuroVLM-1.7B-Preview</a>,📝,3.82@@3.82,?,2061162016.0,128000.0,?,✓,✗,14.03 ± 1.98 / 37.78 ± 0.94@@14.03,22.41 ± 2.78 / 20.36 ± 2.00@@22.41,3.33 ± 1.77 / 45.59 ± 3.65@@3.33,23.57 ± 0.73 / 0.02 ± 0.02@@23.57,59.92 ± 0.23 / 6.37 ± 0.20@@59.92,1.19 ± 1.20 / 24.79 ± 0.94@@1.19,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902
<a href='https://hf.co/PleIAs/Pleias-350m-Preview'>PleIAs/Pleias-350m-Preview</a>,🧠,3.88@@3.88,N/A,353424384.0,65536.0,2048.0,✓,✗,31.78 ± 10.00 / 55.77 ± 9.03@@31.78,19.72 ± 1.33 / 17.82 ± 1.01@@19.72,1.46 ± 1.64 / 36.82 ± 3.86@@1.46,21.98 ± 4.02 / 13.48 ± 3.18@@21.98,54.59 ± 3.17 / 5.38 ± 0.57@@54.59,-1.72 ± 1.74 / 25.04 ± 1.00@@-1.72,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/meta-llama/Llama-3.2-1B-Instruct'>meta-llama/Llama-3.2-1B-Instruct</a>,📝,3.90@@3.90,0.49,1235814400.0,128256.0,131072.0,✓,✗,18.89 ± 11.71 / 46.03 ± 9.26@@18.89,26.74 ± 1.68 / 16.74 ± 2.04@@26.74,-0.02 ± 1.79 / 45.27 ± 2.83@@-0.02,12.82 ± 1.00 / 0.02 ± 0.02@@12.82,58.34 ± 0.81 / 4.82 ± 0.51@@58.34,-0.59 ± 0.90 / 25.08 ± 0.87@@-0.59,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HPLT/hplt2c_fin_checkpoints'>HPLT/hplt2c_fin_checkpoints</a>,🧠,3.93@@3.93,N/A,?,262272.0,2048.0,✓,✗,74.41 ± 8.14 / 85.50 ± 5.90@@74.41,0.81 ± 0.72 / 0.65 ± 0.58@@0.81,0.61 ± 1.74 / 39.57 ± 3.96@@0.61,21.39 ± 1.37 / 3.15 ± 1.67@@21.39,49.65 ± 2.29 / 4.46 ± 0.59@@49.65,-0.08 ± 1.14 / 25.74 ± 0.19@@-0.08,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Base'>LiquidAI/LFM2.5-1.2B-Base</a>,📝,3.95@@3.95,4.23,1170340608.0,65536.0,128000.0,✗,✗,20.21 ± 11.53 / 52.58 ± 8.59@@20.21,17.68 ± 2.33 / 15.81 ± 2.26@@17.68,0.74 ± 0.80 / 34.45 ± 1.16@@0.74,9.29 ± 1.18 / 0.03 ± 0.03@@9.29,60.53 ± 0.73 / 6.45 ± 0.26@@60.53,-0.15 ± 0.96 / 24.10 ± 1.44@@-0.15,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,3.99@@3.99,3.42,?,103424.0,131072.0,✓,✗,9.29 ± 3.14 / 39.87 ± 3.32@@9.29,17.02 ± 1.49 / 15.18 ± 1.50@@17.02,1.17 ± 1.18 / 34.84 ± 2.26@@1.17,15.66 ± 2.69 / 5.87 ± 2.15@@15.66,59.54 ± 0.27 / 6.26 ± 0.17@@59.54,1.31 ± 0.85 / 26.37 ± 0.71@@1.31,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-Nano-9B-v2'>nvidia/NVIDIA-Nemotron-Nano-9B-v2#no-thinking</a>,📝,4.01@@4.01,?,8888227328.0,131072.0,131072.0,✓,✗,0.39 ± 0.77 / 33.53 ± 0.43@@0.39,51.87 ± 1.71 / 25.95 ± 3.13@@51.87,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,2.00 ± 0.14 / 0.00 ± 0.00@@2.00,54.62 ± 0.05 / 1.14 ± 0.01@@54.62,0.00 ± 0.00 / 25.72 ± 0.28@@0.00,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Finnish-NLP/llama-7b-finnish'>Finnish-NLP/llama-7b-finnish</a>,🧠,4.01@@4.01,N/A,7002656768.0,64256.0,2048.0,✓,✗,90.07 ± 1.08 / 94.95 ± 0.57@@90.07,8.21 ± 4.89 / 7.02 ± 4.14@@8.21,0.63 ± 1.70 / 36.98 ± 2.23@@0.63,11.64 ± 1.30 / 0.03 ± 0.02@@11.64,43.72 ± 1.22 / 3.10 ± 0.22@@43.72,-1.54 ± 1.09 / 23.80 ± 0.75@@-1.54,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000,15.10.0.dev0@@151000
<a href='https://hf.co/google/gemma-3-270m-it'>google/gemma-3-270m-it</a>,📝,4.08@@4.08,11.25,268098176.0,262144.0,32768.0,✓,✗,29.04 ± 13.93 / 51.56 ± 10.74@@29.04,13.28 ± 4.51 / 10.64 ± 2.96@@13.28,0.20 ± 0.63 / 33.99 ± 0.60@@0.20,14.16 ± 1.37 / 0.03 ± 0.02@@14.16,51.45 ± 1.58 / 3.74 ± 0.33@@51.45,0.31 ± 1.27 / 25.30 ± 0.64@@0.31,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/google/gemma-3-270m'>google/gemma-3-270m</a>,🧠,4.14@@4.14,N/A,268098176.0,262144.0,32768.0,✓,✗,11.42 ± 12.12 / 40.14 ± 8.48@@11.42,16.84 ± 3.09 / 15.70 ± 2.58@@16.84,1.00 ± 1.65 / 40.75 ± 4.36@@1.00,22.00 ± 3.41 / 11.23 ± 3.06@@22.00,51.01 ± 2.51 / 4.82 ± 0.49@@51.01,-0.86 ± 1.25 / 24.03 ± 0.94@@-0.86,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/LiquidAI/LFM2.5-1.2B-Instruct'>LiquidAI/LFM2.5-1.2B-Instruct</a>,📝,4.15@@4.15,0.04,1170340608.0,65536.0,128000.0,✗,✗,18.00 ± 6.65 / 48.36 ± 6.63@@18.00,13.32 ± 0.83 / 12.65 ± 0.94@@13.32,0.20 ± 0.65 / 36.26 ± 3.46@@0.20,5.21 ± 1.24 / 0.00 ± 0.00@@5.21,55.49 ± 0.69 / 5.31 ± 0.41@@55.49,-0.08 ± 1.18 / 22.85 ± 0.88@@-0.08,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001,16.10.1.dev0@@161001
<a href='https://hf.co/tencent/Hunyuan-1.8B-Instruct'>tencent/Hunyuan-1.8B-Instruct</a>,🤔,4.18@@4.18,?,1791080448.0,120818.0,262144.0,✓,✗,22.29 ± 4.17 / 60.69 ± 1.93@@22.29,18.06 ± 1.77 / 14.01 ± 1.35@@18.06,-0.03 ± 1.30 / 46.75 ± 2.77@@-0.03,24.08 ± 0.88 / 0.00 ± 0.00@@24.08,48.19 ± 0.84 / 2.76 ± 0.17@@48.19,0.00 ± 0.00 / 25.72 ± 0.28@@0.00,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.3.0.dev0@@160300,16.2.2.dev0@@160202
<a href='https://hf.co/LiquidAI/LFM2-1.2B'>LiquidAI/LFM2-1.2B</a>,📝,4.20@@4.20,0.08,1170340608.0,65536.0,128000.0,✗,✗,11.27 ± 11.00 / 50.53 ± 6.69@@11.27,12.46 ± 1.10 / 12.32 ± 1.02@@12.46,0.22 ± 0.97 / 34.45 ± 2.16@@0.22,11.22 ± 0.92 / 0.02 ± 0.02@@11.22,53.91 ± 1.00 / 4.60 ± 0.49@@53.91,-0.67 ± 1.29 / 24.62 ± 1.07@@-0.67,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M'>HuggingFaceTB/SmolLM2-360M</a>,🧠,4.25@@4.25,N/A,361821120.0,49152.0,8192.0,✓,✗,9.65 ± 10.52 / 42.24 ± 8.80@@9.65,9.80 ± 1.15 / 9.29 ± 1.23@@9.80,-0.41 ± 0.82 / 33.52 ± 0.40@@-0.41,15.28 ± 3.52 / 9.22 ± 2.94@@15.28,50.99 ± 1.90 / 5.01 ± 0.59@@50.99,0.66 ± 0.98 / 25.39 ± 0.77@@0.66,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/Qwen/Qwen2.5-Math-1.5B'>Qwen/Qwen2.5-Math-1.5B</a>,📝,4.26@@4.26,?,1543714304.0,151936.0,4096.0,✓,✗,0.65 ± 1.64 / 33.62 ± 0.43@@0.65,16.69 ± 1.68 / 11.28 ± 1.19@@16.69,0.14 ± 1.59 / 46.69 ± 2.19@@0.14,14.73 ± 2.19 / 0.05 ± 0.05@@14.73,51.92 ± 2.78 / 4.24 ± 0.76@@51.92,1.66 ± 1.17 / 26.87 ± 0.52@@1.66,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902,15.9.2.dev0@@150902
<a href='https://hf.co/LiquidAI/LFM2-700M'>LiquidAI/LFM2-700M</a>,📝,4.26@@4.26,6.67,742489344.0,65536.0,128000.0,✗,✗,11.09 ± 4.02 / 47.09 ± 4.71@@11.09,12.11 ± 1.02 / 11.10 ± 0.80@@12.11,0.32 ± 0.73 / 37.13 ± 4.35@@0.32,9.21 ± 1.27 / 0.05 ± 0.05@@9.21,51.12 ± 1.10 / 4.66 ± 0.22@@51.12,0.97 ± 1.16 / 25.86 ± 0.52@@0.97,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B'>deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B</a>,🤔,4.27@@4.27,?,1777088000.0,151936.0,131072.0,✓,✗,34.07 ± 2.58 / 66.21 ± 1.53@@34.07,10.15 ± 1.38 / 8.86 ± 1.24@@10.15,-1.10 ± 1.90 / 36.01 ± 0.67@@-1.10,7.10 ± 0.53 / 0.05 ± 0.05@@7.10,47.64 ± 0.46 / 1.25 ± 0.26@@47.64,0.40 ± 1.04 / 25.76 ± 0.32@@0.40,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M'>HuggingFaceTB/SmolLM2-135M</a>,🧠,4.33@@4.33,N/A,134515008.0,49152.0,8192.0,✓,✗,1.43 ± 9.79 / 39.24 ± 7.44@@1.43,12.56 ± 1.77 / 12.17 ± 1.57@@12.56,0.00 ± 0.71 / 35.99 ± 2.70@@0.00,9.91 ± 3.45 / 5.16 ± 2.41@@9.91,51.93 ± 3.37 / 4.21 ± 0.76@@51.93,0.38 ± 1.08 / 25.89 ± 0.65@@0.38,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-360M-Instruct'>HuggingFaceTB/SmolLM2-360M-Instruct</a>,📝,4.34@@4.34,8.34,361821120.0,49152.0,8192.0,✓,✗,13.01 ± 8.23 / 43.34 ± 5.83@@13.01,13.54 ± 1.45 / 12.89 ± 1.56@@13.54,0.59 ± 1.44 / 36.97 ± 3.43@@0.59,9.26 ± 1.39 / 0.04 ± 0.03@@9.26,49.46 ± 2.37 / 4.07 ± 0.46@@49.46,-1.01 ± 1.80 / 23.82 ± 1.22@@-1.01,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/HuggingFaceTB/SmolLM2-135M-Instruct'>HuggingFaceTB/SmolLM2-135M-Instruct</a>,📝,4.38@@4.38,4.84,134515008.0,49152.0,8192.0,✓,✗,6.95 ± 6.03 / 37.79 ± 5.64@@6.95,12.28 ± 1.49 / 12.58 ± 1.28@@12.28,1.00 ± 1.02 / 38.59 ± 5.31@@1.00,6.63 ± 1.64 / 0.00 ± 0.00@@6.63,49.80 ± 1.56 / 3.91 ± 0.30@@49.80,0.38 ± 1.93 / 24.72 ± 1.21@@0.38,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900
<a href='https://hf.co/DiscoResearch/DiscoLM-70b'>DiscoResearch/DiscoLM-70b</a>,🧠,4.41@@4.41,N/A,68977172480.0,32032.0,8192.0,✗,✗,0.00 ± 0.00 / 33.16 ± 0.42@@0.00,54.62 ± 1.80 / 31.57 ± 2.39@@54.62,0.00 ± 0.00 / 33.30 ± 0.27@@0.00,0.24 ± 0.19 / 0.07 ± 0.10@@0.24,37.01 ± 4.73 / 0.35 ± 0.06@@37.01,2.25 ± 2.50 / 26.16 ± 0.72@@2.25,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/facebook/MobileLLM-R1-360M-base'>facebook/MobileLLM-R1-360M-base</a>,🧠,4.42@@4.42,N/A,359431168.0,128256.0,4096.0,✗,✗,3.84 ± 3.95 / 34.99 ± 2.30@@3.84,12.84 ± 1.57 / 12.40 ± 1.12@@12.84,-1.84 ± 1.32 / 42.38 ± 3.98@@-1.84,15.41 ± 2.13 / 6.70 ± 1.43@@15.41,46.55 ± 1.80 / 3.78 ± 0.39@@46.55,0.37 ± 0.74 / 25.74 ± 0.27@@0.37,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
