<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,~~~<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>~~~,,~~~<a id=14 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>~~~,,<a id=16 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=17 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,~~~<a id=18 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>~~~,,<a id=20 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,,,,
<a href='https://hf.co/google/gemma-2-27b-it'>google/gemma-2-27b-it</a>,📝,-@@100,?,27227128320.0,256000.0,8192.0,✓,✗,(✓),✓,67.35 ± 0.59 / 78.51 ± 0.48@@67.35,64.41 ± 1.09 / 43.59 ± 2.13@@64.41,62.91 ± 1.02 / 45.02 ± 2.76@@62.91,60.47 ± 1.02 / 79.43 ± 0.71@@60.47,48.87 ± 1.81 / 74.12 ± 1.02@@48.87,70.06 ± 1.27 / 41.14 ± 1.58@@70.06,-@@-1,46.13 ± 1.24 / 59.72 ± 0.94@@46.13,19.38 ± 1.26 / 38.87 ± 0.98@@19.38,77.68 ± 0.79 / 82.08 ± 0.64@@77.68,15.5.0@@150500,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,15.6.1@@150601,-@@0,15.6.1@@150601,15.10.1.dev0@@151001,15.6.1@@150601
<a href='https://hf.co/microsoft/Phi-4-reasoning'>microsoft/Phi-4-reasoning</a>,🤔,-@@100,?,14659507200.0,100352.0,32768.0,✓,✗,(✓),✓,0.69 ± 6.55 / 24.21 ± 4.11@@0.69,58.34 ± 1.83 / 54.12 ± 1.70@@58.34,56.77 ± 2.73 / 53.02 ± 2.30@@56.77,13.80 ± 7.32 / 54.55 ± 4.73@@13.80,-0.45 ± 6.11 / 44.52 ± 4.51@@-0.45,46.45 ± 10.49 / 26.81 ± 6.95@@46.45,-@@-1,17.61 ± 3.96 / 34.36 ± 4.02@@17.61,8.13 ± 3.68 / 30.60 ± 2.35@@8.13,16.05 ± 7.72 / 27.53 ± 5.22@@16.05,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,15.10.0@@151000,-@@0,15.10.0@@151000,15.10.1.dev0@@151001,15.10.0@@151000
<a href='https://hf.co/microsoft/phi-4'>microsoft/phi-4</a>,📝,-@@100,?,14659507200.0,100352.0,16384.0,✓,✗,(✓),✓,58.02 ± 1.21 / 70.73 ± 1.16@@58.02,71.32 ± 2.01 / 56.33 ± 2.95@@71.32,70.29 ± 1.04 / 57.53 ± 3.36@@70.29,55.04 ± 1.68 / 77.37 ± 0.86@@55.04,39.24 ± 1.70 / 69.16 ± 1.16@@39.24,39.24 ± 2.39 / 0.00 ± 0.00@@39.24,-@@-1,39.32 ± 1.02 / 55.43 ± 0.71@@39.32,29.70 ± 1.59 / 47.08 ± 1.15@@29.70,73.75 ± 0.96 / 78.94 ± 0.80@@73.75,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,15.9.2@@150902,15.10.1.dev0@@151001,15.9.2@@150902
<a href='https://hf.co/mideind/IceBERT-igc'>mideind/IceBERT-igc</a>,🔍,-@@100,N/A,124494162.0,50000.0,514.0,✓,✗,(✓),✗,9.97 ± 4.01 / 29.49 ± 3.70@@9.97,66.81 ± 0.77 / 69.56 ± 0.68@@66.81,64.04 ± 1.24 / 67.08 ± 1.11@@64.04,1.87 ± 1.29 / 43.63 ± 4.21@@1.87,-0.09 ± 1.74 / 39.63 ± 4.57@@-0.09,0.42 ± 0.60 / 0.26 ± 0.34@@0.42,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mideind/IceBERT-large'>mideind/IceBERT-large</a>,🔍,-@@100,N/A,406390946.0,50000.0,514.0,✓,✗,(✓),✗,9.34 ± 5.22 / 29.68 ± 4.58@@9.34,74.15 ± 1.65 / 76.31 ± 1.43@@74.15,70.22 ± 1.09 / 72.79 ± 1.00@@70.22,1.47 ± 1.91 / 48.21 ± 1.54@@1.47,0.93 ± 1.74 / 45.75 ± 3.52@@0.93,24.32 ± 3.96 / 14.20 ± 2.37@@24.32,-@@-1,-@@-1,-@@-1,-@@-1,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B'>meta-llama/Meta-Llama-3-8B</a>,🧠,-@@100,N/A,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,33.10 ± 1.14 / 49.85 ± 1.06@@33.10,6.68 ± 1.26 / 30.11 ± 0.83@@6.68,53.62 ± 1.62 / 62.39 ± 1.39@@53.62,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/mideind/IceBERT-mC4-is'>mideind/IceBERT-mC4-is</a>,🔍,-@@100,N/A,162944162.0,50000.0,514.0,✓,✗,(✓),✗,0.14 ± 0.74 / 21.84 ± 0.14@@0.14,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-0.74 ± 1.12 / 35.49 ± 3.06@@-0.74,0.00 ± 0.00 / 33.15 ± 0.32@@0.00,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-@@-1,-@@-1,-@@-1,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mideind/IceBERT'>mideind/IceBERT</a>,🔍,-@@100,N/A,162944162.0,50000.0,514.0,✓,✗,(✓),✗,6.51 ± 5.17 / 27.07 ± 4.30@@6.51,71.85 ± 0.58 / 74.39 ± 0.63@@71.85,69.19 ± 0.76 / 72.13 ± 0.70@@69.19,0.71 ± 1.14 / 34.77 ± 1.74@@0.71,1.76 ± 1.89 / 37.22 ± 4.72@@1.76,2.27 ± 2.15 / 1.16 ± 1.12@@2.27,-@@-1,-@@-1,-@@-1,-@@-1,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mistralai/Magistral-Small-2509'>mistralai/Magistral-Small-2509</a>,📝,-@@100,?,24011361280.0,131072.0,8192.0,✓,✗,(✓),✓,60.46 ± 1.06 / 73.55 ± 0.82@@60.46,75.23 ± 0.91 / 64.25 ± 2.27@@75.23,74.79 ± 1.86 / 64.38 ± 2.50@@74.79,58.64 ± 1.53 / 78.65 ± 0.91@@58.64,46.07 ± 1.75 / 71.64 ± 1.58@@46.07,77.06 ± 3.14 / 50.58 ± 4.79@@77.06,-@@-1,49.60 ± 1.50 / 62.52 ± 1.14@@49.60,26.09 ± 0.95 / 44.35 ± 0.80@@26.09,76.67 ± 1.46 / 81.27 ± 1.18@@76.67,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,-@@100,N/A,4251743232.0,131072.0,8192.0,✓,✗,(✓),✓,47.69 ± 2.47 / 61.74 ± 2.62@@47.69,62.03 ± 1.46 / 53.17 ± 2.67@@62.03,60.60 ± 2.38 / 54.71 ± 2.86@@60.60,42.06 ± 3.00 / 68.88 ± 2.44@@42.06,24.75 ± 2.81 / 53.37 ± 5.13@@24.75,70.85 ± 5.11 / 47.06 ± 6.43@@70.85,-@@-1,30.45 ± 0.77 / 48.65 ± 0.46@@30.45,14.12 ± 1.08 / 35.61 ± 0.79@@14.12,65.96 ± 1.18 / 72.66 ± 0.98@@65.96,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200,-@@0,16.12.0.dev0@@161200,16.12.0.dev0@@161200,16.12.0.dev0@@161200
<a href='https://hf.co/mistralai/Ministral-8B-Instruct-2410'>mistralai/Ministral-8B-Instruct-2410</a>,📝,-@@100,?,8019808256.0,131072.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,25.99 ± 1.29 / 44.08 ± 1.12@@25.99,1.57 ± 1.25 / 26.67 ± 0.80@@1.57,57.89 ± 1.54 / 65.71 ± 1.26@@57.89,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.1'>mistralai/Mistral-7B-Instruct-v0.1</a>,📝,-@@100,?,7241732096.0,32000.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,16.73 ± 0.94 / 34.77 ± 0.80@@16.73,1.32 ± 0.95 / 26.00 ± 0.68@@1.32,19.13 ± 1.44 / 34.24 ± 1.10@@19.13,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/mideind/IceBERT-xlmr-ic3'>mideind/IceBERT-xlmr-ic3</a>,🔍,-@@100,N/A,278545702.0,250002.0,514.0,✓,✗,(✓),✗,29.18 ± 8.30 / 40.33 ± 5.70@@29.18,79.84 ± 1.35 / 81.51 ± 1.15@@79.84,73.51 ± 1.14 / 76.48 ± 0.88@@73.51,5.28 ± 5.41 / 46.52 ± 6.20@@5.28,3.15 ± 3.36 / 41.86 ± 5.78@@3.15,13.27 ± 6.41 / 7.67 ± 3.71@@13.27,-@@-1,-@@-1,-@@-1,-@@-1,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,15.9.0.dev0@@150900,-@@0,-@@0,-@@0,-@@0
<a href='https://hf.co/mistralai/Mistral-7B-Instruct-v0.2'>mistralai/Mistral-7B-Instruct-v0.2</a>,📝,-@@100,?,7241732096.0,32000.0,32768.0,✗,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,20.35 ± 1.44 / 38.96 ± 0.91@@20.35,0.75 ± 1.27 / 26.11 ± 0.91@@0.75,26.51 ± 2.06 / 39.06 ± 1.62@@26.51,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/meta-llama/Meta-Llama-3-8B-Instruct'>meta-llama/Meta-Llama-3-8B-Instruct</a>,📝,-@@100,?,8030261248.0,128256.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,32.12 ± 1.10 / 49.46 ± 0.83@@32.12,7.18 ± 0.76 / 30.30 ± 0.61@@7.18,58.32 ± 0.76 / 66.49 ± 0.61@@58.32,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B-Instruct'>meta-llama/Meta-Llama-3-70B-Instruct</a>,📝,-@@100,?,70553706496.0,128256.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,54.05 ± 0.77 / 65.75 ± 0.55@@54.05,22.45 ± 1.06 / 41.48 ± 0.74@@22.45,77.02 ± 0.73 / 81.55 ± 0.57@@77.02,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/meta-llama/Llama-2-7b-chat-hf'>meta-llama/Llama-2-7b-chat-hf</a>,📝,-@@100,?,6738417664.0,32000.0,4096.0,✓,✗,(✓),✓,29.62 ± 0.75 / 37.49 ± 0.65@@29.62,45.09 ± 1.31 / 30.77 ± 1.10@@45.09,46.82 ± 1.13 / 33.02 ± 1.37@@46.82,7.63 ± 2.95 / 46.45 ± 5.09@@7.63,4.60 ± 1.36 / 45.42 ± 3.49@@4.60,49.83 ± 1.51 / 27.66 ± 1.16@@49.83,-@@-1,7.53 ± 1.20 / 29.29 ± 1.53@@7.53,0.02 ± 1.05 / 25.12 ± 0.49@@0.02,4.91 ± 1.16 / 23.24 ± 0.73@@4.91,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,15.3.1.dev0@@150301,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/meta-llama/Llama-2-7b-hf'>meta-llama/Llama-2-7b-hf</a>,📝,-@@100,?,6738417664.0,32000.0,4096.0,✓,✗,(✓),✓,41.74 ± 2.25 / 57.91 ± 2.82@@41.74,42.13 ± 3.82 / 37.17 ± 3.44@@42.13,43.80 ± 2.85 / 37.48 ± 4.00@@43.80,0.00 ± 0.00 / 33.41 ± 0.30@@0.00,0.02 ± 0.04 / 33.88 ± 0.35@@0.02,-@@-1,-@@-1,11.37 ± 1.43 / 32.60 ± 0.54@@11.37,1.98 ± 0.74 / 26.78 ± 0.48@@1.98,4.51 ± 2.09 / 22.78 ± 1.30@@4.51,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,9.2.0@@90200,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/meta-llama/Llama-3.1-405B-Instruct-FP8'>meta-llama/Llama-3.1-405B-Instruct-FP8</a>,📝,-@@100,?,405868625920.0,128256.0,131072.0,✓,✗,(✓),✓,64.42 ± 1.00 / 76.06 ± 0.78@@64.42,82.10 ± 1.08 / 81.35 ± 1.09@@82.10,81.44 ± 0.83 / 81.01 ± 1.43@@81.44,65.57 ± 1.68 / 81.05 ± 1.11@@65.57,49.78 ± 1.71 / 70.53 ± 1.67@@49.78,73.24 ± 1.20 / 45.40 ± 1.45@@73.24,-@@-1,65.71 ± 0.81 / 74.50 ± 0.64@@65.71,41.20 ± 1.32 / 55.69 ± 0.96@@41.20,82.30 ± 0.80 / 85.78 ± 0.65@@82.30,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100,-@@0,15.11.0.dev0@@151100,15.11.0.dev0@@151100,15.11.0.dev0@@151100
<a href='https://hf.co/meta-llama/Llama-3.1-405B'>meta-llama/Llama-3.1-405B</a>,🧠,-@@100,N/A,405853388800.0,128256.0,131072.0,✓,✗,(✓),✓,59.29 ± 1.45 / 70.98 ± 1.31@@59.29,77.65 ± 1.61 / 75.25 ± 2.16@@77.65,75.94 ± 1.30 / 73.63 ± 1.98@@75.94,73.89 ± 1.48 / 86.89 ± 0.74@@73.89,65.37 ± 2.60 / 82.26 ± 1.42@@65.37,79.66 ± 3.88 / 56.82 ± 5.92@@79.66,-@@-1,70.06 ± 0.82 / 77.88 ± 0.61@@70.06,54.48 ± 1.30 / 65.79 ± 1.02@@54.48,80.93 ± 1.01 / 84.69 ± 0.80@@80.93,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001,-@@0,15.10.1.dev0@@151001,15.10.1.dev0@@151001,15.10.1.dev0@@151001
<a href='https://hf.co/meta-llama/Llama-3.1-70B-Instruct'>meta-llama/Llama-3.1-70B-Instruct</a>,📝,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,40.59 ± 0.44 / 40.53 ± 0.29@@40.59,79.86 ± 0.86 / 67.69 ± 1.93@@79.86,80.18 ± 0.93 / 68.67 ± 3.23@@80.18,56.73 ± 1.75 / 76.47 ± 1.37@@56.73,37.64 ± 3.25 / 64.40 ± 3.15@@37.64,74.92 ± 1.35 / 49.22 ± 2.20@@74.92,-@@-1,55.18 ± 0.69 / 66.63 ± 0.47@@55.18,28.44 ± 1.14 / 46.04 ± 0.84@@28.44,78.14 ± 1.29 / 82.37 ± 1.06@@78.14,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,15.10.1.dev0@@151001,15.3.1@@150301
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,-@@100,22.5,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,31.34 ± 0.21 / 33.27 ± 0.39@@31.34,32.65 ± 1.24 / 49.97 ± 0.91@@32.65,9.99 ± 0.81 / 32.54 ± 0.59@@9.99,61.73 ± 1.16 / 69.32 ± 0.92@@61.73,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,16.15.0.dev0@@161500,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/meta-llama/Meta-Llama-3-70B'>meta-llama/Meta-Llama-3-70B</a>,🧠,-@@100,N/A,70553706496.0,128256.0,8192.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,56.04 ± 0.88 / 67.51 ± 0.62@@56.04,28.99 ± 1.17 / 46.74 ± 0.85@@28.99,77.27 ± 0.62 / 81.76 ± 0.51@@77.27,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/meta-llama/Llama-3.2-3B-Instruct'>meta-llama/Llama-3.2-3B-Instruct</a>,📝,-@@100,?,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,30.05 ± 0.14 / 32.94 ± 0.16@@30.05,22.40 ± 1.03 / 40.69 ± 0.77@@22.40,-0.77 ± 0.86 / 24.63 ± 0.42@@-0.77,43.25 ± 0.92 / 54.20 ± 0.67@@43.25,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,16.15.0.dev0@@161500,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/meta-llama/Llama-3.2-3B'>meta-llama/Llama-3.2-3B</a>,🧠,-@@100,N/A,3212749824.0,128256.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,17.18 ± 0.67 / 36.40 ± 0.52@@17.18,1.28 ± 1.13 / 26.21 ± 0.80@@1.28,20.00 ± 0.97 / 34.68 ± 1.16@@20.00,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,-@@100,2.44,70553706496.0,128256.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,32.63 ± 0.13 / 34.78 ± 0.22@@32.63,56.95 ± 0.98 / 68.17 ± 0.70@@56.95,30.14 ± 0.78 / 47.53 ± 0.62@@30.14,73.98 ± 2.03 / 78.68 ± 1.83@@73.98,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,16.17.0.dev0@@161700,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E-Instruct'>meta-llama/Llama-4-Scout-17B-16E-Instruct</a>,📝,-@@100,?,108641793536.0,200000.0,?,✓,✗,(✓),✓,63.43 ± 0.71 / 75.45 ± 0.46@@63.43,69.65 ± 1.65 / 60.33 ± 3.25@@69.65,71.44 ± 1.18 / 62.59 ± 1.41@@71.44,58.38 ± 1.00 / 78.48 ± 0.48@@58.38,44.71 ± 2.20 / 70.31 ± 1.97@@44.71,68.52 ± 1.48 / 38.36 ± 2.07@@68.52,-@@-1,50.63 ± 1.15 / 63.56 ± 0.82@@50.63,33.38 ± 1.26 / 49.99 ± 0.93@@33.38,81.43 ± 0.50 / 85.12 ± 0.40@@81.43,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300,-@@0,15.13.0@@151300,15.13.0@@151300,15.13.0@@151300
<a href='https://hf.co/meta-llama/Llama-4-Scout-17B-16E'>meta-llama/Llama-4-Scout-17B-16E</a>,📝,-@@100,?,108641793536.0,200000.0,?,✓,✗,(✓),✓,56.55 ± 1.41 / 71.11 ± 0.84@@56.55,73.19 ± 0.98 / 68.62 ± 1.73@@73.19,72.97 ± 1.66 / 68.74 ± 1.96@@72.97,34.67 ± 8.08 / 61.71 ± 8.07@@34.67,19.77 ± 5.06 / 49.00 ± 6.86@@19.77,27.49 ± 2.25 / 0.27 ± 0.25@@27.49,-@@-1,51.29 ± 1.03 / 63.86 ± 0.85@@51.29,-@@-1,75.79 ± 2.07 / 80.51 ± 1.76@@75.79,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,15.9.2@@150902,-@@0,15.9.2@@150902,-@@0,15.9.2@@150902
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,-@@100,N/A,8030261248.0,128256.0,131072.0,✓,✗,(✓),✓,55.02 ± 1.78 / 69.87 ± 1.38@@55.02,-@@-1,-@@-1,30.71 ± 2.35 / 61.91 ± 2.38@@30.71,20.90 ± 3.26 / 52.25 ± 3.83@@20.90,-@@-1,26.31 ± 1.21 / 27.70 ± 1.29@@26.31,32.41 ± 1.09 / 49.11 ± 0.89@@32.41,6.28 ± 0.62 / 29.60 ± 0.34@@6.28,56.01 ± 1.04 / 64.34 ± 0.92@@56.01,16.5.0.dev0@@160500,-@@0,-@@0,16.5.0.dev0@@160500,16.5.0.dev0@@160500,-@@0,16.15.0.dev0@@161500,16.5.0.dev0@@160500,16.5.0.dev0@@160500,16.5.0.dev0@@160500
<a href='https://hf.co/mistralai/Mistral-7B-v0.1'>mistralai/Mistral-7B-v0.1</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,24.09 ± 1.60 / 43.35 ± 0.99@@24.09,-1.09 ± 0.93 / 24.65 ± 0.68@@-1.09,28.03 ± 2.82 / 41.39 ± 2.38@@28.03,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/mistralai/Mistral-7B-v0.3'>mistralai/Mistral-7B-v0.3</a>,🧠,-@@100,N/A,7248023552.0,32768.0,32768.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,22.64 ± 1.30 / 41.86 ± 1.06@@22.64,0.35 ± 1.28 / 25.57 ± 0.82@@0.35,28.22 ± 3.09 / 40.98 ± 2.55@@28.22,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/mistralai/Mistral-Nemo-Instruct-2407'>mistralai/Mistral-Nemo-Instruct-2407</a>,📝,-@@100,?,12247782400.0,131072.0,131072.0,✓,✗,(✓),✓,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,36.89 ± 1.24 / 53.40 ± 0.86@@36.89,8.34 ± 1.09 / 31.35 ± 0.76@@8.34,62.87 ± 1.21 / 70.14 ± 0.95@@62.87,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://hf.co/occiglot/occiglot-7b-eu5'>occiglot/occiglot-7b-eu5</a>,🧠,-@@100,N/A,7241732096.0,32000.0,4096.0,✓,✗,(✓),✗,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,-@@-1,21.45 ± 0.92 / 21.69 ± 0.94@@21.45,16.51 ± 1.10 / 34.41 ± 1.14@@16.51,-0.87 ± 1.25 / 25.14 ± 0.85@@-0.87,12.60 ± 1.40 / 29.04 ± 0.87@@12.60,-@@0,-@@0,-@@0,-@@0,-@@0,-@@0,16.15.0.dev0@@161500,15.2.0.dev0@@150200,15.10.1.dev0@@151001,15.2.0.dev0@@150200
<a href='https://ollama.com/library/gemma3:12b-it-fp16'>ollama_chat/gemma3:12b-it-fp16 (val)</a>,📝,-@@100,?,12187325040.0,262144.0,128000.0,✓,✗,✗,✓,62.27 ± 3.07 / 73.33 ± 2.18@@62.27,71.53 ± 2.32 / 51.19 ± 4.03@@71.53,73.99 ± 2.80 / 55.09 ± 3.76@@73.99,51.76 ± 2.96 / 74.69 ± 1.43@@51.76,46.80 ± 3.79 / 71.92 ± 2.13@@46.80,65.66 ± 1.70 / 35.40 ± 2.01@@65.66,-@@-1,43.85 ± 2.41 / 57.93 ± 1.84@@43.85,-@@-1,74.89 ± 3.39 / 79.84 ± 2.79@@74.89,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,15.3.1@@150301,-@@0,15.3.1@@150301,-@@0,15.3.1@@150301
