<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,,,<a id=11 href='https://euroeval.com/tasks/sentiment-classification/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Sentiment classification</a>,<a id=12 href='https://euroeval.com/tasks/named-entity-recognition/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Named entity recognition</a>,<a id=13 href='https://euroeval.com/tasks/linguistic-acceptability/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Linguistic acceptability</a>,<a id=14 href='https://euroeval.com/tasks/reading-comprehension/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Reading comprehension</a>,<a id=15 href='https://euroeval.com/tasks/summarization/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Summarization</a>,<a id=16 href='https://euroeval.com/tasks/knowledge/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Knowledge</a>,<a id=17 href='https://euroeval.com/tasks/common-sense-reasoning/' style='font-size: 12px; font-weight: normal; color: Grey; text-decoration: underline;'>Common sense reasoning</a>,<span style='visibility: hidden;'>hidden</span>,,,,,,
<a href='https://hf.co/LumiOpen/Llama-Poro-2-8B-base'>LumiOpen/Llama-Poro-2-8B-base</a>,🧠,-@@100,N/A,8030261248.0,128256.0,?,✓,✗,(✓),✗,45.78 ± 1.98 / 47.27 ± 1.73@@45.78,46.74 ± 2.96 / 30.96 ± 2.57@@46.74,0.00 ± 0.00 / 33.07 ± 0.40@@0.00,69.73 ± 1.30 / 50.45 ± 1.96@@69.73,-@@-1,5.13 ± 1.92 / 25.64 ± 1.56@@5.13,9.03 ± 1.41 / 54.14 ± 0.70@@9.03,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Thinking'>Qwen/Qwen3-Next-80B-A3B-Thinking</a>,🤔,-@@100,?,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,58.14 ± 1.09 / 70.06 ± 0.79@@58.14,43.63 ± 2.96 / 27.10 ± 2.88@@43.63,22.91 ± 2.05 / 52.94 ± 1.40@@22.91,55.91 ± 1.11 / 36.44 ± 1.14@@55.91,-@@-1,20.47 ± 2.10 / 39.90 ± 1.54@@20.47,74.85 ± 1.27 / 87.41 ± 0.63@@74.85,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-Next-80B-A3B-Instruct'>Qwen/Qwen3-Next-80B-A3B-Instruct</a>,📝,-@@100,?,81324862720.0,151936.0,262144.0,✓,✗,✗,✓,63.01 ± 1.42 / 73.03 ± 1.06@@63.01,53.76 ± 1.98 / 32.19 ± 1.94@@53.76,34.74 ± 1.71 / 65.81 ± 1.02@@34.74,66.17 ± 1.24 / 41.61 ± 2.11@@66.17,-@@-1,14.93 ± 2.42 / 36.80 ± 1.62@@14.93,51.07 ± 1.21 / 75.48 ± 0.61@@51.07,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B</a>,🤔,-@@100,?,8190735360.0,151936.0,40960.0,✓,✗,✗,✓,36.12 ± 4.36 / 38.65 ± 3.53@@36.12,48.96 ± 0.95 / 30.90 ± 1.56@@48.96,10.03 ± 1.71 / 49.10 ± 3.73@@10.03,66.04 ± 0.96 / 43.10 ± 1.41@@66.04,-@@-1,11.08 ± 1.48 / 33.18 ± 1.13@@11.08,0.00 ± 0.00 / 49.64 ± 0.50@@0.00,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,16.0.1.dev0@@160001,15.16.0.dev0@@151600
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B</a>,📝,-@@100,?,4022468096.0,151936.0,40960.0,✓,✗,✗,✓,45.04 ± 2.78 / 59.71 ± 2.30@@45.04,48.85 ± 1.68 / 24.82 ± 1.60@@48.85,14.32 ± 2.07 / 53.80 ± 1.48@@14.32,64.45 ± 1.36 / 41.47 ± 1.86@@64.45,-@@-1,3.22 ± 1.69 / 27.10 ± 1.32@@3.22,10.61 ± 1.37 / 55.14 ± 0.69@@10.61,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,-@@0,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/Qwen/Qwen3-4B-Instruct-2507'>Qwen/Qwen3-4B-Instruct-2507</a>,📝,-@@100,?,4022468096.0,151936.0,262144.0,✓,✗,✗,✓,50.95 ± 1.16 / 64.74 ± 0.87@@50.95,43.74 ± 1.75 / 22.83 ± 1.33@@43.74,15.44 ± 1.09 / 57.27 ± 0.63@@15.44,64.65 ± 1.16 / 39.76 ± 1.64@@64.65,-@@-1,4.75 ± 2.28 / 28.98 ± 1.83@@4.75,12.61 ± 1.62 / 56.24 ± 0.80@@12.61,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,16.0.0.dev0@@160000,-@@0,16.3.0.dev0@@160300,16.0.0.dev0@@160000
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B</a>,🤔,-@@100,?,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,7.55 ± 2.78 / 25.52 ± 1.67@@7.55,53.18 ± 1.34 / 39.05 ± 2.27@@53.18,23.23 ± 0.85 / 61.52 ± 0.44@@23.23,65.04 ± 1.00 / 41.41 ± 0.99@@65.04,-@@-1,8.54 ± 1.96 / 30.94 ± 1.52@@8.54,57.83 ± 1.09 / 78.90 ± 0.54@@57.83,16.1.0.dev0@@160100,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/Qwen/Qwen3-30B-A3B'>Qwen/Qwen3-30B-A3B#no-thinking</a>,📝,-@@100,?,30532122624.0,151936.0,40960.0,✓,✗,✗,✓,60.24 ± 1.30 / 71.24 ± 0.93@@60.24,51.15 ± 1.35 / 33.51 ± 2.73@@51.15,29.74 ± 1.25 / 64.11 ± 0.64@@29.74,65.71 ± 1.71 / 41.01 ± 1.85@@65.71,-@@-1,11.86 ± 1.79 / 33.02 ± 1.45@@11.86,27.82 ± 1.63 / 63.63 ± 0.88@@27.82,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Thinking-2507-FP8'>Qwen/Qwen3-235B-A22B-Thinking-2507-FP8</a>,🤔,-@@100,?,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,63.79 ± 1.29 / 73.48 ± 0.96@@63.79,56.17 ± 1.81 / 37.25 ± 3.73@@56.17,31.41 ± 1.42 / 61.63 ± 0.72@@31.41,65.07 ± 1.11 / 42.27 ± 2.02@@65.07,-@@-1,22.60 ± 2.67 / 41.86 ± 2.07@@22.60,82.76 ± 0.94 / 91.37 ± 0.47@@82.76,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8'>Qwen/Qwen3-235B-A22B-Instruct-2507-FP8</a>,📝,-@@100,?,235107904512.0,151936.0,262144.0,✓,✗,✗,✓,64.41 ± 1.39 / 73.79 ± 1.02@@64.41,53.87 ± 1.51 / 32.68 ± 2.35@@53.87,41.93 ± 1.63 / 69.15 ± 1.11@@41.93,65.54 ± 1.46 / 42.34 ± 2.32@@65.54,-@@-1,19.09 ± 2.01 / 38.98 ± 1.45@@19.09,64.21 ± 1.09 / 82.08 ± 0.55@@64.21,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B</a>,🤔,-@@100,?,14768307200.0,151936.0,40960.0,✓,✗,✗,✓,55.75 ± 2.04 / 67.20 ± 1.69@@55.75,48.90 ± 0.66 / 31.32 ± 1.78@@48.90,4.09 ± 2.41 / 34.48 ± 0.65@@4.09,69.08 ± 1.25 / 46.79 ± 1.58@@69.08,-@@-1,8.78 ± 2.53 / 31.00 ± 1.93@@8.78,0.97 ± 1.00 / 49.69 ± 0.51@@0.97,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,15.16.0.dev0@@151600,-@@0,16.0.1.dev0@@160001,15.16.0.dev0@@151600
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B</a>,📝,-@@100,?,2031739904.0,151936.0,40960.0,✓,✗,✗,✓,45.62 ± 1.26 / 58.06 ± 1.90@@45.62,34.31 ± 1.86 / 20.20 ± 1.29@@34.31,6.20 ± 1.06 / 45.40 ± 3.40@@6.20,54.81 ± 1.41 / 34.34 ± 1.08@@54.81,-@@-1,4.40 ± 2.88 / 26.82 ± 2.82@@4.40,1.68 ± 0.88 / 50.38 ± 0.45@@1.68,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,16.1.1.dev0@@160101,-@@0,16.1.1.dev0@@160101,16.1.1.dev0@@160101
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,-@@100,N/A,40433885184.0,256000.0,32768.0,✓,✗,(✓),✓,39.05 ± 5.45 / 53.83 ± 4.69@@39.05,49.21 ± 1.83 / 32.92 ± 1.66@@49.21,45.27 ± 3.10 / 72.06 ± 1.92@@45.27,69.89 ± 1.79 / 50.02 ± 2.32@@69.89,-@@-1,20.76 ± 2.19 / 39.08 ± 1.68@@20.76,23.02 ± 2.57 / 59.25 ± 1.56@@23.02,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/EuroBERT/EuroBERT-210m'>EuroBERT/EuroBERT-210m</a>,🔍,-@@100,N/A,310266624.0,128256.0,8192.0,✓,✗,(✓),✓,9.57 ± 2.19 / 33.89 ± 3.21@@9.57,23.26 ± 3.51 / 26.38 ± 3.87@@23.26,2.38 ± 1.14 / 46.04 ± 2.98@@2.38,15.99 ± 1.49 / 9.04 ± 1.11@@15.99,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0
<a href='https://hf.co/EuroBERT/EuroBERT-610m'>EuroBERT/EuroBERT-610m</a>,🔍,-@@100,N/A,755625600.0,128256.0,8192.0,✓,✗,(✓),✓,8.78 ± 3.52 / 31.73 ± 4.05@@8.78,30.86 ± 2.84 / 34.20 ± 2.11@@30.86,1.47 ± 2.11 / 41.62 ± 5.05@@1.47,17.70 ± 1.31 / 10.23 ± 1.06@@17.70,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0
<a href='https://hf.co/EuropeanParliament/EUBERT'>EuropeanParliament/EUBERT</a>,🔍,-@@100,N/A,93990500.0,65636.0,512.0,✓,✗,(✓),✓,8.06 ± 4.29 / 31.23 ± 4.83@@8.06,31.26 ± 1.06 / 36.20 ± 0.77@@31.26,0.97 ± 2.09 / 48.89 ± 1.22@@0.97,5.47 ± 1.44 / 2.93 ± 0.94@@5.47,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0
<a href='https://hf.co/LiquidAI/LFM2-2.6B'>LiquidAI/LFM2-2.6B</a>,📝,-@@100,1.29,2569272320.0,65536.0,128000.0,✗,✗,(✓),✓,17.57 ± 1.16 / 37.76 ± 1.69@@17.57,35.60 ± 2.46 / 22.25 ± 1.55@@35.60,0.28 ± 1.79 / 34.09 ± 0.51@@0.28,22.36 ± 0.91 / 12.22 ± 1.14@@22.36,-@@-1,3.95 ± 1.46 / 25.44 ± 1.03@@3.95,3.35 ± 1.77 / 51.28 ± 0.75@@3.35,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/Geotrend/distilbert-base-25lang-cased'>Geotrend/distilbert-base-25lang-cased</a>,🔍,-@@100,N/A,108867577.0,84985.0,512.0,✓,✗,(✓),✗,6.89 ± 4.32 / 27.88 ± 3.18@@6.89,55.60 ± 1.45 / 54.70 ± 0.78@@55.60,-0.87 ± 1.44 / 40.70 ± 4.18@@-0.87,0.18 ± 0.25 / 0.11 ± 0.15@@0.18,-@@-1,-@@-1,-@@-1,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,-@@0,-@@0
<a href='https://hf.co/Finnish-NLP/roberta-large-finnish'>Finnish-NLP/roberta-large-finnish</a>,🔍,-@@100,N/A,354313218.0,50265.0,514.0,✓,✗,(✓),✗,1.20 ± 2.14 / 25.35 ± 2.05@@1.20,46.26 ± 1.23 / 46.98 ± 1.61@@46.26,0.42 ± 2.19 / 47.28 ± 2.51@@0.42,5.14 ± 2.57 / 3.05 ± 1.64@@5.14,-@@-1,-@@-1,-@@-1,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,-@@0,-@@0
<a href='https://hf.co/Finnish-NLP/roberta-large-finnish-v2'>Finnish-NLP/roberta-large-finnish-v2</a>,🔍,-@@100,N/A,354313218.0,50265.0,514.0,✓,✗,(✓),✗,1.40 ± 2.13 / 24.53 ± 1.33@@1.40,47.60 ± 1.53 / 47.73 ± 1.45@@47.60,0.30 ± 1.35 / 47.16 ± 2.11@@0.30,4.90 ± 1.57 / 2.85 ± 0.95@@4.90,-@@-1,-@@-1,-@@-1,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,-@@0,-@@0
<a href='https://hf.co/Finnish-NLP/Ahma-2-4B-Instruct'>Finnish-NLP/Ahma-2-4B-Instruct</a>,📝,-@@100,29.85,3880099328.0,262144.0,131072.0,✓,✗,(✓),✗,45.69 ± 3.13 / 60.03 ± 2.70@@45.69,32.99 ± 3.13 / 21.45 ± 1.77@@32.99,6.59 ± 1.57 / 44.87 ± 3.18@@6.59,26.75 ± 1.45 / 3.36 ± 1.19@@26.75,-@@-1,5.85 ± 1.56 / 27.34 ± 1.02@@5.85,5.07 ± 1.36 / 52.44 ± 0.67@@5.07,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0,16.8.0.dev0@@160800,16.8.0.dev0@@160800
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,-@@100,N/A,561192082.0,250002.0,512.0,✓,✗,(✓),✓,39.23 ± 12.90 / 46.44 ± 7.62@@39.23,71.53 ± 1.17 / 68.03 ± 1.22@@71.53,9.74 ± 4.77 / 48.49 ± 4.27@@9.74,29.43 ± 1.47 / 21.20 ± 1.13@@29.43,-@@-1,-@@-1,-@@-1,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,-@@0,-@@0
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,-@@100,?,70553706496.0,128256.0,131072.0,✓,✗,(✓),✗,63.88 ± 1.06 / 73.68 ± 0.92@@63.88,56.56 ± 1.75 / 33.85 ± 2.22@@56.56,29.43 ± 1.54 / 63.63 ± 0.84@@29.43,66.23 ± 0.78 / 40.25 ± 1.57@@66.23,-@@-1,19.07 ± 2.66 / 38.88 ± 1.93@@19.07,60.59 ± 1.29 / 80.26 ± 0.64@@60.59,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-7-sonnet-20250219#no-thinking (zero-shot, val)</a>",🤔,-@@100,?,?,?,200000.0,✓,✗,✗,✓,63.05 ± 1.96 / 72.28 ± 1.73@@63.05,42.81 ± 3.11 / 34.02 ± 2.54@@42.81,43.56 ± 3.31 / 69.89 ± 1.68@@43.56,63.01 ± 1.56 / 31.84 ± 1.89@@63.01,-@@-1,35.28 ± 5.48 / 52.00 ± 4.01@@35.28,65.68 ± 2.86 / 82.73 ± 1.43@@65.68,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-3-5-haiku-20241022 (zero-shot, val)</a>",📝,-@@100,?,?,?,200000.0,✓,✗,✗,✓,50.00 ± 2.74 / 60.35 ± 2.10@@50.00,35.14 ± 2.13 / 23.42 ± 1.40@@35.14,28.51 ± 3.42 / 64.20 ± 1.72@@28.51,62.43 ± 1.21 / 30.75 ± 1.70@@62.43,-@@-1,18.54 ± 5.72 / 38.17 ± 4.23@@18.54,20.22 ± 3.39 / 60.00 ± 1.80@@20.22,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,-@@100,0.0,21948655808.0,103424.0,131072.0,✓,✗,(✓),✗,47.20 ± 2.61 / 59.06 ± 2.25@@47.20,41.69 ± 1.86 / 23.45 ± 1.62@@41.69,7.93 ± 3.86 / 45.51 ± 5.58@@7.93,64.61 ± 2.00 / 41.18 ± 2.43@@64.61,-@@-1,9.74 ± 2.06 / 32.24 ± 1.63@@9.74,7.19 ± 2.60 / 53.57 ± 1.31@@7.19,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,16.8.0.dev0@@160800,-@@0,16.8.0.dev0@@160800,16.8.0.dev0@@160800
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro'>gemini/gemini-2.5-pro (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,64.76 ± 1.91 / 72.74 ± 1.78@@64.76,50.18 ± 3.66 / 38.77 ± 2.67@@50.18,61.06 ± 1.94 / 79.75 ± 0.95@@61.06,65.25 ± 1.29 / 31.59 ± 1.46@@65.25,-@@-1,51.82 ± 5.53 / 64.17 ± 4.52@@51.82,81.21 ± 1.89 / 90.47 ± 0.95@@81.21,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#thinking (zero-shot, val)</a>",🤔,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,58.57 ± 3.37 / 68.62 ± 2.72@@58.57,47.93 ± 3.68 / 36.08 ± 2.83@@47.93,56.00 ± 2.02 / 75.69 ± 1.13@@56.00,65.71 ± 1.42 / 43.80 ± 1.81@@65.71,-@@-1,39.55 ± 4.74 / 55.00 ± 3.83@@39.55,75.48 ± 2.18 / 87.66 ± 1.12@@75.48,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,16.0.1.dev0@@160001,16.0.1.dev0@@160001
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,-@@100,?,?,256128.0,1048576.0,✓,✗,✗,✓,58.46 ± 2.87 / 69.64 ± 1.80@@58.46,41.92 ± 3.28 / 29.22 ± 1.85@@41.92,41.01 ± 3.79 / 70.28 ± 1.88@@41.01,60.82 ± 1.51 / 30.32 ± 1.58@@60.82,-@@-1,35.20 ± 5.80 / 52.00 ± 4.40@@35.20,61.29 ± 1.72 / 80.51 ± 0.83@@61.29,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
fresh-xlm-roberta-base,🔍,-@@100,N/A,278885778.0,250002.0,512.0,✓,✗,✗,✓,0.93 ± 1.93 / 23.80 ± 0.46@@0.93,2.28 ± 1.28 / 8.52 ± 2.40@@2.28,0.33 ± 0.88 / 36.45 ± 3.45@@0.33,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-@@-1,-@@-1,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,-@@0,-@@0
fresh-electra-small,🔍,-@@100,N/A,13738755.0,32000.0,128.0,✓,✗,✗,✓,0.00 ± 0.00 / 23.53 ± 0.21@@0.00,0.90 ± 0.42 / 6.30 ± 1.19@@0.90,-0.13 ± 0.26 / 33.65 ± 0.36@@-0.13,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,-@@-1,-@@-1,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,16.0.1.dev0@@160001,-@@0,-@@0,-@@0
<a href='https://hf.co/facebook/MobileLLM-R1-950M'>facebook/MobileLLM-R1-950M</a>,📝,-@@100,?,949685760.0,128256.0,32768.0,✗,✗,(✓),✓,1.45 ± 1.66 / 25.13 ± 1.79@@1.45,5.44 ± 2.84 / 7.22 ± 1.72@@5.44,0.00 ± 0.00 / 33.59 ± 0.39@@0.00,0.02 ± 0.02 / 0.00 ± 0.00@@0.02,-@@-1,-0.39 ± 0.77 / 23.54 ± 1.18@@-0.39,0.32 ± 1.15 / 49.64 ± 0.49@@0.32,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/facebook/MobileLLM-R1-950M-base'>facebook/MobileLLM-R1-950M-base</a>,🧠,-@@100,N/A,949685760.0,128256.0,4096.0,✗,✗,(✓),✓,12.94 ± 3.32 / 24.63 ± 5.29@@12.94,11.97 ± 3.28 / 11.50 ± 1.73@@11.97,-1.94 ± 1.27 / 37.68 ± 3.84@@-1.94,8.11 ± 1.00 / 3.08 ± 0.80@@8.11,-@@-1,-2.20 ± 2.12 / 22.98 ± 0.97@@-2.20,-0.00 ± 2.20 / 49.63 ± 0.49@@-0.00,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/zai-org/GLM-4.5-Air'>zai-org/GLM-4.5-Air#thinking</a>,🤔,-@@100,?,110468824832.0,151552.0,131072.0,✓,✗,✗,✓,37.61 ± 5.86 / 52.71 ± 5.47@@37.61,49.81 ± 1.03 / 30.00 ± 1.54@@49.81,29.09 ± 1.83 / 64.11 ± 0.98@@29.09,34.69 ± 0.95 / 0.00 ± 0.00@@34.69,-@@-1,21.73 ± 2.64 / 40.74 ± 1.99@@21.73,45.06 ± 2.02 / 72.48 ± 1.00@@45.06,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,16.2.2.dev0@@160202,-@@0,16.2.2.dev0@@160202,16.2.2.dev0@@160202
<a href='https://hf.co/facebook/MobileLLM-R1-360M-base'>facebook/MobileLLM-R1-360M-base</a>,🧠,-@@100,N/A,359431168.0,128256.0,4096.0,✗,✗,(✓),✓,4.53 ± 2.82 / 18.84 ± 5.66@@4.53,7.84 ± 2.33 / 10.84 ± 1.73@@7.84,-0.43 ± 0.88 / 35.01 ± 2.73@@-0.43,3.43 ± 0.48 / 0.47 ± 0.22@@3.43,-@@-1,-0.62 ± 2.49 / 23.52 ± 1.47@@-0.62,0.58 ± 1.70 / 49.77 ± 0.58@@0.58,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/facebook/MobileLLM-R1-140M'>facebook/MobileLLM-R1-140M</a>,🤔,-@@100,?,140248512.0,128256.0,32768.0,✗,✗,(✓),✓,0.42 ± 0.83 / 13.39 ± 0.39@@0.42,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,0.95 ± 0.95 / 33.18 ± 0.34@@0.95,0.00 ± 0.00 / 0.00 ± 0.00@@0.00,-@@-1,0.38 ± 0.39 / 23.62 ± 1.19@@0.38,-0.10 ± 2.19 / 49.63 ± 0.49@@-0.10,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/facebook/MobileLLM-R1-140M-base'>facebook/MobileLLM-R1-140M-base</a>,🧠,-@@100,N/A,140248512.0,128256.0,4096.0,✗,✗,(✓),✓,2.45 ± 2.14 / 25.82 ± 3.52@@2.45,5.37 ± 1.93 / 10.83 ± 0.68@@5.37,-0.14 ± 1.88 / 43.44 ± 4.14@@-0.14,1.99 ± 0.63 / 0.02 ± 0.04@@1.99,-@@-1,-1.67 ± 1.25 / 21.08 ± 1.19@@-1.67,-1.29 ± 1.51 / 49.64 ± 0.80@@-1.29,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,16.3.0.dev0@@160300,-@@0,16.3.0.dev0@@160300,16.3.0.dev0@@160300
<a href='https://hf.co/baidu/ERNIE-4.5-0.3B-PT'>baidu/ERNIE-4.5-0.3B-PT</a>,📝,-@@100,3.5,?,103424.0,131072.0,✓,✗,(✓),✗,4.60 ± 2.01 / 30.14 ± 1.36@@4.60,15.22 ± 1.68 / 13.71 ± 1.10@@15.22,-1.64 ± 2.05 / 44.34 ± 2.49@@-1.64,5.15 ± 1.28 / 0.87 ± 0.55@@5.15,-@@-1,1.21 ± 2.45 / 23.74 ± 1.40@@1.21,1.59 ± 2.37 / 50.68 ± 1.10@@1.59,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,16.9.0.dev0@@160900,-@@0,16.9.0.dev0@@160900,16.9.0.dev0@@160900
